 Reporting Area,MMWR Year,MMWR Week,"Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Med","Giardiasis, Previous 52 weeks Med, flag","Giardiasis, Previous 52 weeks Max","Giardiasis, Previous 52 weeks Max, flag","Giardiasis, Cum 2017","Giardiasis, Cum 2017, flag","Giardiasis, Cum 2016","Giardiasis, Cum 2016, flag","Gonorrhea,Current week","Gonorrhea,Current week, flag","Gonorrhea,Previous 52 weeks Med","Gonorrhea,Previous 52 weeks Med, flag","Gonorrhea, Previous 52 weeks Max","Gonorrhea, Previous 52 weeks Max, flag","Gonorrhea, Cum 2017","Gonorrhea, Cum 2017, flag","Gonorrhea, Cum 2016","Gonorrhea, Cum 2016, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Current week","Haemophilus influenzae invasive§, All ages, all serotypes, Current week, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Med","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Med, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Max","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Max, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2017","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2017, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2016","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2016, flag",Location 1,Location 2
NEW HAMPSHIRE,2017,14,,-,2,,6,,13,,22,,,-,9,,51,,140,,207,,,-,0,,2,,3,,7,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ILLINOIS,2017,14,,N,0,,0,,,N,,N,18,,370,,502,,2852,,5164,,,-,4,,12,,54,,64,,"ILLINOIS
(40.477092, -88.993221)",
NEW YORK,2017,14,9,,17,,42,,159,,207,,191,,188,,461,,2510,,2135,,5,,4,,15,,46,,59,,"NEW YORK
(42.826892, -75.544286)",
MAINE,2017,14,1,,2,,7,,13,,26,,2,,8,,21,,106,,126,,,-,0,,3,,11,,7,,"MAINE
(45.252223, -68.986647)",
MINNESOTA,2017,14,,-,0,,0,,,-,,-,4,,104,,131,,1324,,1245,,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
KENTUCKY,2017,14,,N,0,,0,,,N,,N,149,,126,,275,,1765,,955,,,-,1,,6,,22,,15,,"KENTUCKY
(37.64591, -84.774043)",
MONTANA,2017,14,2,,2,,8,,20,,22,,,-,15,,26,,174,,292,,2,,0,,2,,7,,3,,"MONTANA
(47.062617, -109.430168)",
NEW JERSEY,2017,14,,-,2,,12,,4,,120,,60,,142,,196,,1983,,2063,,,-,2,,8,,25,,38,,"NEW JERSEY
(40.104655, -74.386686)",
VIRGIN ISL.,2017,14,,-,0,,0,,,-,,-,,-,0,,3,,1,,10,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MISSOURI,2017,14,3,,5,,16,,53,,67,,195,,226,,286,,3227,,2876,,,-,2,,9,,36,,53,,"MISSOURI
(38.636168, -92.566292)",
IOWA,2017,14,,-,3,,13,,36,,47,,12,,52,,74,,746,,640,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
MICHIGAN,2017,14,1,,10,,26,,86,,109,,45,,234,,345,,2098,,2913,,1,,3,,7,,45,,57,,"MICHIGAN
(44.66399, -84.711206)",
HAWAII,2017,14,,-,1,,3,,15,,14,,1,,28,,50,,317,,318,,,-,0,,3,,12,,17,,"HAWAII
(21.30992, -157.858158)",
ALABAMA,2017,14,,-,4,,10,,44,,73,,,-,166,,268,,2061,,2075,,,-,1,,4,,20,,27,,"ALABAMA
(32.839182, -86.631125)",
OREGON,2017,14,4,,5,,18,,53,,85,,74,,88,,130,,1236,,1000,,2,,2,,7,,32,,34,,"OREGON
(44.567912, -120.156945)",
UNITED STATES,2017,15,80,,284,,484,,2804,,3912,,3783,,8767,,10506,,114928,,121313,,45,,89,,174,,1375,,1647,,,
NEW ENGLAND,2017,15,1,,21,,36,,195,,295,,13,,184,,418,,2558,,2285,,,-,5,,17,,62,,93,,,
MID. ATLANTIC,2017,15,29,,56,,121,,586,,828,,377,,1049,,1347,,16585,,13472,,4,,16,,29,,208,,290,,,
NEW YORK CITY,2017,15,16,,17,,27,,260,,226,,2,,399,,497,,6075,,4950,,,-,2,,7,,25,,36,,,
E.N. CENTRAL,2017,15,,-,27,,153,,263,,368,,131,,1291,,1566,,15334,,18691,,7,,14,,34,,198,,272,,,
W.N. CENTRAL,2017,15,8,,15,,43,,178,,234,,228,,531,,633,,7699,,7165,,1,,5,,14,,76,,92,,,
S. ATLANTIC,2017,15,3,,49,,74,,383,,693,,691,,1829,,2455,,15017,,25921,,13,,20,,86,,337,,408,,,
E.S. CENTRAL,2017,15,,-,4,,10,,47,,77,,168,,617,,830,,8265,,8090,,1,,7,,12,,113,,115,,,
W.S. CENTRAL,2017,15,2,,6,,21,,43,,95,,908,,1267,,1693,,19019,,17445,,8,,9,,32,,152,,146,,,
MOUNTAIN,2017,15,14,,24,,50,,269,,309,,367,,544,,766,,7737,,7033,,7,,8,,14,,156,,150,,,
PACIFIC,2017,15,23,,72,,133,,840,,1013,,900,,1559,,2001,,22714,,21211,,4,,4,,10,,73,,81,,,
AMER. SAMOA,2017,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
IOWA,2017,15,,-,3,,13,,36,,49,,,-,52,,74,,746,,698,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
VIRGINIA,2017,15,2,,5,,23,,56,,60,,,-,0,,776,,,-,2114,,,-,2,,15,,29,,37,,"VIRGINIA
(37.542699, -78.45822)",
VIRGIN ISL.,2017,15,,-,0,,0,,,-,,-,,-,0,,3,,1,,10,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
DIST. OF COL.,2017,15,,-,0,,2,,,-,3,,,-,62,,146,,307,,902,,,-,0,,1,,1,,7,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
INDIANA,2017,15,,-,4,,9,,22,,44,,77,,189,,263,,2884,,2636,,,-,2,,9,,21,,32,,"INDIANA
(39.76845, -86.156212)",
OREGON,2017,15,7,,5,,18,,62,,98,,91,,88,,130,,1327,,1072,,4,,2,,7,,37,,36,,"OREGON
(44.567912, -120.156945)",
ARKANSAS,2017,15,2,,3,,16,,34,,35,,76,,97,,188,,1170,,1254,,1,,1,,4,,20,,15,,"ARKANSAS
(34.748745, -92.275105)",
NEW MEXICO,2017,15,,-,1,,9,,19,,15,,12,,66,,129,,941,,870,,,-,1,,3,,15,,24,,"NEW MEXICO
(34.520396, -106.244402)",
ILLINOIS,2017,15,,N,0,,0,,,N,,N,17,,369,,502,,3056,,5518,,,-,4,,12,,58,,68,,"ILLINOIS
(40.477092, -88.993221)",
MARYLAND,2017,15,1,,4,,11,,47,,58,,72,,168,,395,,1861,,2151,,2,,2,,11,,38,,39,,"MARYLAND
(39.290443, -76.612333)",
HAWAII,2017,15,,-,1,,2,,14,,15,,,-,27,,50,,328,,339,,,-,0,,3,,14,,19,,"HAWAII
(21.30992, -157.858158)",
MINNESOTA,2017,15,,-,0,,0,,,-,,-,10,,104,,131,,1461,,1334,,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
TEXAS,2017,15,,N,0,,0,,,N,,N,624,,837,,1216,,12876,,12065,,4,,6,,30,,76,,80,,"TEXAS
(31.827233, -99.423022)",
LOUISIANA,2017,15,,-,3,,12,,9,,60,,189,,228,,674,,3487,,2521,,,-,1,,4,,19,,30,,"LOUISIANA
(31.2931, -92.463284)",
GEORGIA,2017,15,,-,11,,28,,,-,224,,171,,324,,421,,1091,,4646,,,-,3,,10,,53,,78,,"GEORGIA
(32.836038, -83.631709)",
MISSOURI,2017,15,4,,5,,16,,61,,74,,198,,229,,286,,3471,,3083,,1,,2,,9,,41,,56,,"MISSOURI
(38.636168, -92.566292)",
MONTANA,2017,15,1,,2,,8,,22,,23,,,-,15,,26,,174,,304,,,-,0,,3,,8,,3,,"MONTANA
(47.062617, -109.430168)",
MASSACHUSETTS,2017,15,,-,10,,21,,112,,154,,,-,105,,144,,1554,,1307,,,-,2,,8,,33,,48,,"MASSACHUSETTS
(42.268546, -72.085064)",
MAINE,2017,15,,-,2,,7,,13,,40,,,-,8,,21,,106,,136,,,-,0,,3,,11,,10,,"MAINE
(45.252223, -68.986647)",
WASHINGTON,2017,15,6,,8,,69,,87,,112,,154,,151,,208,,1931,,2248,,,-,0,,2,,2,,3,,"WASHINGTON
(47.517368, -120.467672)",
PENNSYLVANIA,2017,15,6,,19,,68,,155,,245,,180,,299,,534,,5719,,4028,,4,,8,,20,,109,,150,,"PENNSYLVANIA
(40.789676, -77.858055)",
WYOMING,2017,15,,-,0,,2,,,-,10,,,-,5,,16,,58,,49,,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEW HAMPSHIRE,2017,15,1,,2,,6,,20,,24,,4,,9,,51,,164,,209,,,-,0,,2,,4,,7,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
OHIO,2017,15,,-,5,,135,,91,,95,,,-,396,,479,,5357,,5474,,7,,3,,8,,67,,64,,"OHIO
(40.056807, -82.405897)",
SOUTH DAKOTA,2017,15,,-,2,,6,,24,,31,,,-,19,,33,,188,,378,,,-,0,,2,,6,,7,,"SOUTH DAKOTA
(44.35371, -100.373709)",
WEST VIRGINIA,2017,15,,-,1,,5,,11,,20,,17,,20,,38,,384,,238,,1,,1,,3,,14,,11,,"WEST VIRGINIA
(38.668501, -80.709421)",
NEVADA,2017,15,1,,1,,4,,9,,17,,19,,86,,127,,1096,,1085,,,-,1,,3,,18,,13,,"NEVADA
(39.491833, -117.070159)",
ALABAMA,2017,15,,-,4,,10,,47,,77,,,-,166,,268,,2061,,2252,,,-,1,,4,,20,,28,,"ALABAMA
(32.839182, -86.631125)",
SOUTH CAROLINA,2017,15,,-,3,,7,,36,,38,,167,,187,,300,,2995,,2779,,1,,3,,10,,66,,26,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MICHIGAN,2017,15,,-,10,,26,,86,,115,,37,,241,,346,,2392,,3132,,,-,3,,7,,45,,59,,"MICHIGAN
(44.66399, -84.711206)",
UTAH,2017,15,,-,3,,9,,29,,28,,29,,41,,59,,642,,591,,,-,1,,3,,17,,8,,"UTAH
(39.359772, -111.584173)",
PUERTO RICO,2017,15,,-,0,,3,,,-,5,,1,,13,,28,,131,,193,,,-,0,,2,,2,,1,,"PUERTO RICO
(18.215692, -66.414655)",
OKLAHOMA,2017,15,,N,0,,0,,,N,,N,19,,106,,157,,1486,,1605,,3,,1,,8,,37,,21,,"OKLAHOMA
(35.468494, -97.521264)",
CALIFORNIA,2017,15,10,,52,,83,,666,,770,,655,,1284,,1600,,19110,,17194,,,-,1,,3,,16,,14,,"CALIFORNIA
(37.640735, -121.002435)",
WISCONSIN,2017,15,,-,8,,86,,64,,114,,,-,126,,149,,1645,,1931,,,-,1,,6,,7,,49,,"WISCONSIN
(44.395526, -89.834513)",
IDAHO,2017,15,2,,3,,13,,33,,44,,,-,13,,39,,212,,196,,,-,0,,3,,9,,14,,"IDAHO
(43.680635, -114.364237)",
NORTH CAROLINA,2017,15,,-,0,,0,,,-,,-,,-,366,,437,,107,,5247,,,-,3,,10,,45,,58,,"NORTH CAROLINA
(35.47995, -79.180571)",
NEBRASKA,2017,15,4,,2,,9,,37,,36,,,-,43,,77,,632,,614,,,-,1,,4,,15,,8,,"NEBRASKA
(41.640503, -99.367122)",
C.N.M.I.,2017,15,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
GUAM,2017,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
CONNECTICUT,2017,15,,-,4,,11,,41,,64,,9,,53,,130,,584,,585,,,-,1,,4,,10,,20,,"CONNECTICUT
(41.544654, -72.651713)",
TENNESSEE,2017,15,,N,0,,0,,,N,,N,79,,193,,333,,2860,,2903,,,-,3,,7,,45,,55,,"TENNESSEE
(35.681402, -85.774444)",
NEW YORK,2017,15,7,,17,,42,,166,,232,,150,,189,,461,,2657,,2290,,,-,4,,15,,46,,65,,"NEW YORK
(42.826892, -75.544286)",
RHODE ISLAND,2017,15,,-,1,,8,,9,,13,,,-,6,,213,,99,,2,,,-,0,,12,,,-,4,,"RHODE ISLAND
(41.707447, -71.522488)",
NEW JERSEY,2017,15,,-,2,,12,,5,,125,,45,,142,,196,,2134,,2204,,,-,2,,8,,28,,39,,"NEW JERSEY
(40.104655, -74.386686)",
NORTH DAKOTA,2017,15,,-,0,,4,,4,,15,,1,,18,,34,,130,,258,,,-,0,,3,,3,,7,,"NORTH DAKOTA
(47.475879, -100.121011)",
KENTUCKY,2017,15,,N,0,,0,,,N,,N,89,,126,,275,,1851,,1138,,1,,1,,6,,28,,15,,"KENTUCKY
(37.64591, -84.774043)",
FLORIDA,2017,15,,-,21,,44,,228,,286,,235,,545,,903,,7743,,7386,,9,,4,,62,,83,,145,,"FLORIDA
(28.915325, -81.922409)",
MISSISSIPPI,2017,15,,N,0,,0,,,N,,N,,-,131,,219,,1493,,1797,,,-,1,,6,,20,,17,,"MISSISSIPPI
(32.738663, -89.537312)",
ARIZONA,2017,15,4,,2,,6,,36,,47,,197,,206,,326,,2756,,2538,,2,,2,,6,,60,,54,,"ARIZONA
(34.869712, -111.760902)",
DELAWARE,2017,15,,-,0,,3,,5,,4,,29,,35,,59,,529,,458,,,-,0,,3,,8,,7,,"DELAWARE
(39.008676, -75.574561)",
ALASKA,2017,15,,-,1,,5,,11,,18,,,-,25,,54,,18,,358,,,-,0,,2,,4,,9,,"ALASKA
(64.836661, -147.738891)",
KANSAS,2017,15,,-,2,,8,,16,,29,,19,,73,,94,,1071,,800,,,-,1,,5,,11,,14,,"KANSAS
(38.345528, -98.201847)",
COLORADO,2017,15,6,,11,,21,,121,,125,,110,,126,,253,,1858,,1400,,5,,1,,4,,29,,34,,"COLORADO
(38.841772, -106.132562)",
VERMONT,2017,15,,N,0,,0,,,N,,N,,-,2,,10,,51,,46,,,-,0,,2,,4,,4,,"VERMONT
(43.622479, -72.51927)",
