Reporting Area,MMWR Year,MMWR Week,"Hepatitis (viral, acute), type A, Current week","Hepatitis (viral, acute), type A, Current week, flag ","Hepatitis (viral, acute), type A, Previous 52 weeks Med","Hepatitis (viral, acute), type A, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type A, Previous 52 weeks Max","Hepatitis (viral, acute), type A, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type A, Cum 2014","Hepatitis (viral, acute), type A, Cum 2014, flag","Hepatitis (viral, acute), type A, Cum 2013","Hepatitis (viral, acute), type A, Cum 2013, flag","Hepatitis (viral, acute), type B, Current week","Hepatitis (viral, acute), type B, Current week, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Med","Hepatitis (viral, acute), type B, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Max","Hepatitis (viral, acute), type B, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type B, Cum 2014","Hepatitis (viral, acute), type B, Cum 2014, flag","Hepatitis (viral, acute), type B, Cum 2013","Hepatitis (viral, acute), type B, Cum 2013, flag","Hepatitis (viral, acute), type C, Current week","Hepatitis (viral, acute), type C, Current week, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Med","Hepatitis (viral, acute), type C, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Max","Hepatitis (viral, acute), type C, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type C, Cum 2014","Hepatitis (viral, acute), type C, Cum 2014, flag","Hepatitis (viral, acute), type C, Cum 2013","Hepatitis (viral, acute), type C, Cum 2013, flag",Location 1,Location 2
NEBRASKA,2017,8,,-,0,,4,,1,,3,,,-,0,,2,,1,,1,,,-,0,,2,,,-,2,,"NEBRASKA
(41.640503, -99.367122)",
NEW YORK,2017,8,1,,1,,3,,7,,8,,1,,1,,4,,2,,4,,3,,3,,11,,10,,28,,"NEW YORK
(42.826892, -75.544286)",
C.N.M.I.,2017,8,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
OKLAHOMA,2017,8,,-,0,,4,,,-,1,,,-,0,,8,,,-,,-,,-,0,,4,,1,,1,,"OKLAHOMA
(35.468494, -97.521264)",
OREGON,2017,8,,-,0,,2,,4,,2,,1,,0,,3,,2,,2,,,-,0,,2,,1,,4,,"OREGON
(44.567912, -120.156945)",
WYOMING,2017,8,,-,0,,0,,,-,,-,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MASSACHUSETTS,2017,8,,-,1,,4,,4,,8,,,-,0,,2,,4,,9,,,-,5,,11,,6,,93,,"MASSACHUSETTS
(42.268546, -72.085064)",
ALASKA,2017,8,,-,0,,1,,1,,,-,,-,0,,2,,1,,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
DELAWARE,2017,8,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW JERSEY,2017,8,,-,1,,4,,,-,13,,,-,0,,3,,2,,9,,,-,0,,3,,,-,14,,"NEW JERSEY
(40.104655, -74.386686)",
MAINE,2017,8,,-,0,,1,,,-,2,,,-,1,,3,,6,,6,,,-,0,,3,,4,,3,,"MAINE
(45.252223, -68.986647)",
IOWA,2017,8,,-,0,,2,,1,,2,,,-,0,,2,,2,,2,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
PUERTO RICO,2017,8,,-,0,,1,,,-,,-,,-,0,,2,,,-,4,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
DIST. OF COL.,2017,8,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
SOUTH CAROLINA,2017,8,,-,0,,3,,7,,2,,,-,0,,4,,3,,8,,,-,0,,2,,1,,3,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MISSOURI,2017,8,,-,0,,2,,1,,5,,1,,1,,3,,3,,7,,1,,0,,3,,7,,3,,"MISSOURI
(38.636168, -92.566292)",
MARYLAND,2017,8,,-,0,,5,,1,,2,,,-,0,,3,,4,,7,,,-,0,,3,,1,,3,,"MARYLAND
(39.290443, -76.612333)",
ALABAMA,2017,8,,-,0,,2,,1,,6,,,-,1,,3,,8,,17,,,-,0,,4,,1,,6,,"ALABAMA
(32.839182, -86.631125)",
GUAM,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
CALIFORNIA,2017,8,1,,4,,9,,18,,38,,,-,2,,6,,7,,23,,,-,1,,4,,7,,7,,"CALIFORNIA
(37.640735, -121.002435)",
INDIANA,2017,8,,-,0,,1,,2,,7,,,-,4,,10,,17,,21,,,-,2,,7,,9,,25,,"INDIANA
(39.76845, -86.156212)",
NORTH DAKOTA,2017,8,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
VERMONT,2017,8,,-,0,,1,,,-,1,,,-,0,,1,,,-,1,,1,,0,,1,,1,,2,,"VERMONT
(43.622479, -72.51927)",
FLORIDA,2017,8,4,,2,,7,,24,,16,,6,,11,,17,,68,,77,,3,,4,,9,,37,,40,,"FLORIDA
(28.915325, -81.922409)",
MICHIGAN,2017,8,,-,2,,8,,24,,8,,,-,1,,4,,10,,4,,,-,1,,4,,6,,19,,"MICHIGAN
(44.66399, -84.711206)",
NEW HAMPSHIRE,2017,8,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WISCONSIN,2017,8,,-,0,,2,,1,,,-,,-,0,,1,,3,,3,,,-,1,,3,,1,,10,,"WISCONSIN
(44.395526, -89.834513)",
MINNESOTA,2017,8,,-,0,,2,,,-,1,,,-,0,,2,,,-,2,,,-,1,,4,,,-,7,,"MINNESOTA
(46.357661, -94.793397)",
NEVADA,2017,8,,-,0,,2,,,-,4,,,-,0,,2,,,-,2,,,-,0,,3,,2,,1,,"NEVADA
(39.491833, -117.070159)",
KENTUCKY,2017,8,,-,0,,2,,1,,,-,1,,3,,11,,15,,29,,1,,1,,8,,4,,15,,"KENTUCKY
(37.64591, -84.774043)",
LOUISIANA,2017,8,,-,0,,1,,1,,4,,,-,1,,5,,12,,5,,,-,0,,1,,1,,1,,"LOUISIANA
(31.2931, -92.463284)",
KANSAS,2017,8,,-,0,,1,,1,,,-,,-,0,,3,,2,,6,,,-,0,,2,,1,,3,,"KANSAS
(38.345528, -98.201847)",
HAWAII,2017,8,,-,0,,39,,2,,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
UTAH,2017,8,,-,0,,2,,,-,2,,,-,0,,1,,,-,,-,,-,1,,4,,4,,6,,"UTAH
(39.359772, -111.584173)",
TENNESSEE,2017,8,,-,0,,2,,,-,,-,1,,4,,7,,19,,35,,1,,2,,11,,10,,32,,"TENNESSEE
(35.681402, -85.774444)",
NEW MEXICO,2017,8,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,11,,"NEW MEXICO
(34.520396, -106.244402)",
OHIO,2017,8,1,,0,,7,,3,,,-,2,,5,,13,,23,,53,,3,,3,,10,,12,,34,,"OHIO
(40.056807, -82.405897)",
UNITED STATES,2017,9,11,,31,,105,,182,,259,,24,,58,,80,,356,,525,,13,,45,,74,,217,,539,,,
NEW ENGLAND,2017,9,1,,2,,5,,7,,14,,1,,1,,4,,13,,17,,,-,6,,14,,20,,120,,,
MID. ATLANTIC,2017,9,3,,4,,10,,28,,37,,3,,4,,7,,21,,25,,2,,7,,18,,22,,83,,,
NEW YORK CITY,2017,9,1,,1,,4,,15,,8,,1,,1,,3,,6,,7,,,-,0,,1,,,-,3,,,
E.N. CENTRAL,2017,9,,-,4,,11,,42,,31,,2,,11,,20,,64,,105,,3,,8,,17,,36,,99,,,
W.N. CENTRAL,2017,9,,-,1,,5,,4,,13,,,-,1,,7,,8,,21,,,-,2,,7,,12,,21,,,
S. ATLANTIC,2017,9,4,,7,,55,,51,,63,,11,,21,,34,,133,,196,,5,,9,,20,,70,,106,,,
E.S. CENTRAL,2017,9,,-,0,,4,,2,,7,,7,,8,,18,,61,,91,,,-,4,,17,,19,,60,,,
W.S. CENTRAL,2017,9,,-,3,,8,,7,,31,,,-,4,,16,,33,,26,,2,,1,,5,,9,,5,,,
MOUNTAIN,2017,9,1,,2,,5,,11,,21,,,-,1,,4,,8,,11,,1,,3,,9,,18,,29,,,
PACIFIC,2017,9,2,,6,,47,,30,,42,,,-,3,,8,,15,,33,,,-,2,,9,,11,,16,,,
AMER. SAMOA,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
SOUTH DAKOTA,2017,9,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,1,,5,,"SOUTH DAKOTA
(44.35371, -100.373709)",
ILLINOIS,2017,9,,-,1,,5,,7,,13,,,-,0,,3,,1,,10,,,-,0,,3,,1,,6,,"ILLINOIS
(40.477092, -88.993221)",
HAWAII,2017,9,,-,0,,39,,2,,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
INDIANA,2017,9,,-,0,,1,,2,,7,,,-,4,,10,,22,,26,,,-,2,,7,,10,,26,,"INDIANA
(39.76845, -86.156212)",
NORTH DAKOTA,2017,9,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
SOUTH CAROLINA,2017,9,,-,0,,4,,8,,3,,,-,0,,4,,3,,8,,,-,0,,2,,1,,3,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MINNESOTA,2017,9,,-,0,,2,,,-,2,,,-,0,,2,,,-,2,,,-,1,,4,,,-,8,,"MINNESOTA
(46.357661, -94.793397)",
C.N.M.I.,2017,9,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MICHIGAN,2017,9,,-,2,,8,,29,,10,,,-,1,,4,,13,,4,,1,,1,,4,,10,,20,,"MICHIGAN
(44.66399, -84.711206)",
WYOMING,2017,9,,-,0,,0,,,-,,-,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
COLORADO,2017,9,,-,0,,2,,2,,4,,,-,0,,2,,3,,1,,,-,0,,3,,5,,3,,"COLORADO
(38.841772, -106.132562)",
WISCONSIN,2017,9,,-,0,,2,,1,,,-,,-,0,,1,,3,,3,,,-,1,,3,,1,,10,,"WISCONSIN
(44.395526, -89.834513)",
OHIO,2017,9,,-,0,,7,,3,,1,,2,,5,,13,,25,,62,,2,,3,,10,,14,,37,,"OHIO
(40.056807, -82.405897)",
MARYLAND,2017,9,1,,0,,5,,2,,4,,,-,0,,3,,4,,8,,1,,0,,3,,2,,6,,"MARYLAND
(39.290443, -76.612333)",
NEBRASKA,2017,9,,-,0,,4,,1,,3,,,-,0,,2,,1,,1,,,-,0,,2,,,-,2,,"NEBRASKA
(41.640503, -99.367122)",
WEST VIRGINIA,2017,9,,-,0,,4,,3,,2,,,-,4,,12,,17,,34,,2,,1,,6,,16,,14,,"WEST VIRGINIA
(38.668501, -80.709421)",
KANSAS,2017,9,,-,0,,1,,1,,,-,,-,0,,3,,2,,6,,,-,0,,2,,1,,3,,"KANSAS
(38.345528, -98.201847)",
NEW HAMPSHIRE,2017,9,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
GUAM,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
GEORGIA,2017,9,,-,1,,4,,3,,14,,2,,2,,7,,15,,17,,,-,1,,4,,3,,14,,"GEORGIA
(32.836038, -83.631709)",
ALABAMA,2017,9,,-,0,,2,,1,,6,,,-,1,,3,,8,,17,,,-,0,,4,,1,,7,,"ALABAMA
(32.839182, -86.631125)",
CALIFORNIA,2017,9,1,,4,,9,,20,,38,,,-,2,,6,,7,,25,,,-,1,,5,,8,,7,,"CALIFORNIA
(37.640735, -121.002435)",
UTAH,2017,9,,-,0,,2,,,-,2,,,-,0,,1,,1,,,-,1,,1,,5,,6,,8,,"UTAH
(39.359772, -111.584173)",
NEW JERSEY,2017,9,,-,1,,4,,,-,14,,,-,0,,3,,2,,9,,,-,0,,3,,,-,15,,"NEW JERSEY
(40.104655, -74.386686)",
TENNESSEE,2017,9,,-,0,,2,,,-,,-,2,,4,,8,,23,,39,,,-,2,,11,,14,,35,,"TENNESSEE
(35.681402, -85.774444)",
NORTH CAROLINA,2017,9,,-,1,,5,,1,,11,,,-,3,,8,,4,,28,,,-,1,,4,,2,,18,,"NORTH CAROLINA
(35.47995, -79.180571)",
VERMONT,2017,9,,-,0,,1,,,-,1,,,-,0,,1,,,-,1,,,-,0,,1,,1,,2,,"VERMONT
(43.622479, -72.51927)",
MAINE,2017,9,,-,0,,1,,,-,2,,1,,1,,3,,9,,6,,,-,0,,3,,4,,5,,"MAINE
(45.252223, -68.986647)",
OKLAHOMA,2017,9,,-,0,,4,,,-,1,,,-,0,,8,,,-,,-,1,,0,,4,,2,,1,,"OKLAHOMA
(35.468494, -97.521264)",
RHODE ISLAND,2017,9,,-,0,,2,,,-,,-,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MONTANA,2017,9,1,,0,,1,,2,,1,,,-,0,,1,,,-,,-,,-,0,,2,,4,,5,,"MONTANA
(47.062617, -109.430168)",
OREGON,2017,9,1,,0,,2,,6,,2,,,-,0,,3,,2,,3,,,-,0,,2,,2,,5,,"OREGON
(44.567912, -120.156945)",
ARIZONA,2017,9,,-,0,,2,,5,,9,,,-,0,,2,,3,,5,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
CONNECTICUT,2017,9,,-,0,,3,,1,,2,,,-,0,,1,,,-,1,,,-,0,,2,,,-,6,,"CONNECTICUT
(41.544654, -72.651713)",
NEW MEXICO,2017,9,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,11,,"NEW MEXICO
(34.520396, -106.244402)",
NEW YORK,2017,9,,-,1,,3,,7,,9,,,-,1,,4,,2,,5,,2,,3,,11,,12,,30,,"NEW YORK
(42.826892, -75.544286)",
WASHINGTON,2017,9,,-,0,,3,,1,,1,,,-,1,,5,,5,,4,,,-,1,,6,,1,,4,,"WASHINGTON
(47.517368, -120.467672)",
PENNSYLVANIA,2017,9,2,,1,,4,,6,,6,,2,,1,,3,,11,,4,,,-,3,,11,,10,,35,,"PENNSYLVANIA
(40.789676, -77.858055)",
MISSOURI,2017,9,,-,0,,2,,1,,6,,,-,1,,3,,3,,8,,,-,0,,3,,9,,3,,"MISSOURI
(38.636168, -92.566292)",
IDAHO,2017,9,,-,0,,1,,2,,1,,,-,0,,1,,1,,3,,,-,0,,1,,1,,1,,"IDAHO
(43.680635, -114.364237)",
IOWA,2017,9,,-,0,,2,,1,,2,,,-,0,,2,,2,,2,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
ARKANSAS,2017,9,,-,0,,3,,1,,,-,,-,1,,5,,7,,8,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
KENTUCKY,2017,9,,-,0,,2,,1,,,-,5,,3,,11,,24,,30,,,-,1,,8,,4,,18,,"KENTUCKY
(37.64591, -84.774043)",
PUERTO RICO,2017,9,,-,0,,1,,,-,,-,,-,0,,2,,,-,4,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
ALASKA,2017,9,,-,0,,1,,1,,,-,,-,0,,2,,1,,1,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
LOUISIANA,2017,9,,-,0,,1,,1,,4,,,-,1,,6,,17,,6,,,-,0,,1,,1,,1,,"LOUISIANA
(31.2931, -92.463284)",
MASSACHUSETTS,2017,9,1,,1,,4,,6,,9,,,-,0,,2,,4,,9,,,-,5,,13,,15,,107,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEVADA,2017,9,,-,0,,2,,,-,4,,,-,0,,2,,,-,2,,,-,0,,3,,2,,1,,"NEVADA
(39.491833, -117.070159)",
VIRGINIA,2017,9,,-,2,,40,,7,,11,,,-,1,,3,,8,,12,,,-,1,,4,,4,,8,,"VIRGINIA
(37.542699, -78.45822)",
DELAWARE,2017,9,,-,0,,1,,,-,,-,,-,0,,1,,2,,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
DIST. OF COL.,2017,9,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
TEXAS,2017,9,,-,2,,6,,5,,26,,,-,2,,12,,9,,12,,1,,0,,4,,6,,3,,"TEXAS
(31.827233, -99.423022)",
VIRGIN ISL.,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MISSISSIPPI,2017,9,,-,0,,1,,,-,1,,,-,1,,2,,6,,5,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
FLORIDA,2017,9,3,,2,,7,,27,,18,,9,,11,,17,,80,,89,,2,,4,,9,,42,,43,,"FLORIDA
(28.915325, -81.922409)",
UNITED STATES,2017,10,13,,31,,105,,210,,291,,22,,58,,80,,402,,579,,8,,45,,75,,245,,594,,,
NEW ENGLAND,2017,10,,-,2,,5,,7,,16,,,-,1,,4,,14,,19,,,-,6,,14,,20,,130,,,
MID. ATLANTIC,2017,10,4,,4,,10,,32,,42,,1,,4,,7,,22,,27,,,-,7,,18,,24,,99,,,
NEW YORK CITY,2017,10,,-,1,,4,,15,,10,,,-,1,,3,,6,,8,,,-,0,,1,,,-,3,,,
E.N. CENTRAL,2017,10,,-,4,,11,,42,,34,,4,,11,,20,,71,,123,,1,,8,,17,,41,,111,,,
W.N. CENTRAL,2017,10,,-,1,,5,,4,,16,,,-,1,,7,,9,,22,,,-,2,,7,,14,,23,,,
S. ATLANTIC,2017,10,7,,7,,55,,63,,68,,7,,21,,34,,152,,212,,5,,10,,22,,77,,109,,,
E.S. CENTRAL,2017,10,,-,0,,4,,2,,8,,2,,8,,18,,64,,95,,1,,4,,17,,26,,65,,,
W.S. CENTRAL,2017,10,,-,3,,8,,8,,35,,5,,4,,19,,41,,31,,,-,1,,5,,9,,8,,,
MOUNTAIN,2017,10,2,,2,,5,,16,,22,,,-,1,,4,,9,,14,,,-,3,,9,,21,,33,,,
PACIFIC,2017,10,,-,6,,47,,36,,50,,3,,3,,9,,20,,36,,1,,2,,9,,13,,16,,,
AMER. SAMOA,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MARYLAND,2017,10,,-,0,,5,,5,,4,,,-,0,,3,,4,,8,,1,,0,,3,,4,,6,,"MARYLAND
(39.290443, -76.612333)",
UTAH,2017,10,,-,0,,2,,,-,2,,,-,0,,1,,1,,,-,,-,1,,5,,8,,10,,"UTAH
(39.359772, -111.584173)",
RHODE ISLAND,2017,10,,-,0,,2,,,-,,-,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
IDAHO,2017,10,,-,0,,1,,2,,1,,,-,0,,1,,1,,4,,,-,0,,1,,1,,1,,"IDAHO
(43.680635, -114.364237)",
PENNSYLVANIA,2017,10,,-,1,,4,,6,,7,,,-,1,,3,,11,,4,,,-,3,,11,,11,,37,,"PENNSYLVANIA
(40.789676, -77.858055)",
OREGON,2017,10,,-,0,,2,,6,,3,,,-,0,,3,,2,,3,,,-,0,,2,,2,,5,,"OREGON
(44.567912, -120.156945)",
WEST VIRGINIA,2017,10,,-,0,,4,,3,,2,,1,,4,,12,,23,,36,,,-,1,,6,,16,,14,,"WEST VIRGINIA
(38.668501, -80.709421)",
DELAWARE,2017,10,,-,0,,1,,,-,,-,1,,0,,1,,3,,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
ALABAMA,2017,10,,-,0,,2,,1,,7,,,-,1,,3,,8,,17,,,-,0,,4,,4,,7,,"ALABAMA
(32.839182, -86.631125)",
LOUISIANA,2017,10,,-,0,,1,,1,,4,,,-,1,,6,,18,,6,,,-,0,,1,,1,,1,,"LOUISIANA
(31.2931, -92.463284)",
HAWAII,2017,10,,-,0,,39,,2,,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NEBRASKA,2017,10,,-,0,,4,,1,,5,,,-,0,,2,,1,,1,,,-,0,,2,,,-,2,,"NEBRASKA
(41.640503, -99.367122)",
VIRGINIA,2017,10,1,,2,,40,,9,,13,,,-,1,,3,,10,,13,,2,,1,,4,,7,,9,,"VIRGINIA
(37.542699, -78.45822)",
VIRGIN ISL.,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
COLORADO,2017,10,,-,0,,2,,2,,5,,,-,0,,2,,3,,2,,,-,0,,3,,5,,4,,"COLORADO
(38.841772, -106.132562)",
OKLAHOMA,2017,10,,-,0,,4,,,-,1,,1,,0,,8,,1,,2,,,-,0,,4,,2,,1,,"OKLAHOMA
(35.468494, -97.521264)",
WASHINGTON,2017,10,,-,0,,3,,1,,1,,2,,1,,6,,6,,5,,1,,1,,6,,2,,4,,"WASHINGTON
(47.517368, -120.467672)",
NEW MEXICO,2017,10,,-,0,,1,,1,,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,12,,"NEW MEXICO
(34.520396, -106.244402)",
CONNECTICUT,2017,10,,-,0,,3,,1,,2,,,-,0,,1,,,-,1,,,-,0,,2,,,-,7,,"CONNECTICUT
(41.544654, -72.651713)",
WISCONSIN,2017,10,,-,0,,2,,1,,,-,,-,0,,1,,3,,3,,,-,1,,3,,1,,12,,"WISCONSIN
(44.395526, -89.834513)",
SOUTH DAKOTA,2017,10,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,2,,6,,"SOUTH DAKOTA
(44.35371, -100.373709)",
ARKANSAS,2017,10,,-,0,,3,,1,,,-,,-,1,,5,,8,,10,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
INDIANA,2017,10,,-,0,,1,,2,,7,,,-,5,,11,,23,,34,,1,,2,,7,,14,,29,,"INDIANA
(39.76845, -86.156212)",
OHIO,2017,10,,-,0,,7,,3,,2,,4,,5,,13,,31,,69,,,-,3,,10,,15,,40,,"OHIO
(40.056807, -82.405897)",
GEORGIA,2017,10,,-,1,,4,,3,,14,,,-,2,,7,,16,,18,,,-,1,,4,,3,,15,,"GEORGIA
(32.836038, -83.631709)",
PUERTO RICO,2017,10,,-,0,,4,,1,,,-,,-,0,,2,,,-,6,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
SOUTH CAROLINA,2017,10,,-,0,,4,,9,,4,,,-,0,,4,,3,,8,,,-,0,,2,,1,,3,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NORTH DAKOTA,2017,10,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
GUAM,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ARIZONA,2017,10,1,,0,,2,,7,,9,,,-,0,,2,,4,,5,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
MASSACHUSETTS,2017,10,,-,1,,4,,6,,11,,,-,0,,2,,4,,10,,,-,5,,13,,15,,115,,"MASSACHUSETTS
(42.268546, -72.085064)",
MISSOURI,2017,10,,-,0,,2,,1,,7,,,-,0,,3,,3,,8,,,-,0,,3,,9,,4,,"MISSOURI
(38.636168, -92.566292)",
IOWA,2017,10,,-,0,,2,,1,,2,,,-,0,,2,,2,,2,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
MICHIGAN,2017,10,,-,2,,8,,29,,10,,,-,1,,4,,13,,5,,,-,1,,4,,10,,22,,"MICHIGAN
(44.66399, -84.711206)",
NEVADA,2017,10,,-,0,,2,,1,,4,,,-,0,,2,,,-,3,,,-,0,,3,,2,,1,,"NEVADA
(39.491833, -117.070159)",
MONTANA,2017,10,1,,0,,1,,3,,1,,,-,0,,1,,,-,,-,,-,0,,2,,5,,5,,"MONTANA
(47.062617, -109.430168)",
NORTH CAROLINA,2017,10,,-,1,,5,,1,,12,,,-,2,,8,,6,,31,,,-,1,,4,,2,,18,,"NORTH CAROLINA
(35.47995, -79.180571)",
TENNESSEE,2017,10,,-,0,,2,,,-,,-,1,,4,,8,,25,,41,,1,,2,,11,,17,,38,,"TENNESSEE
(35.681402, -85.774444)",
WYOMING,2017,10,,-,0,,0,,,-,,-,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MINNESOTA,2017,10,,-,0,,2,,,-,2,,,-,0,,2,,,-,3,,,-,1,,4,,,-,8,,"MINNESOTA
(46.357661, -94.793397)",
MISSISSIPPI,2017,10,,-,0,,1,,,-,1,,,-,0,,2,,6,,7,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEW HAMPSHIRE,2017,10,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW YORK,2017,10,4,,1,,3,,11,,9,,1,,1,,4,,3,,5,,,-,3,,11,,13,,41,,"NEW YORK
(42.826892, -75.544286)",
KANSAS,2017,10,,-,0,,1,,1,,,-,,-,0,,3,,3,,6,,,-,0,,2,,2,,3,,"KANSAS
(38.345528, -98.201847)",
CALIFORNIA,2017,10,,-,4,,9,,26,,44,,1,,2,,6,,11,,27,,,-,1,,5,,9,,7,,"CALIFORNIA
(37.640735, -121.002435)",
KENTUCKY,2017,10,,-,0,,2,,1,,,-,1,,3,,11,,25,,30,,,-,1,,8,,5,,20,,"KENTUCKY
(37.64591, -84.774043)",
ILLINOIS,2017,10,,-,1,,5,,7,,15,,,-,0,,3,,1,,12,,,-,0,,3,,1,,8,,"ILLINOIS
(40.477092, -88.993221)",
NEW JERSEY,2017,10,,-,1,,4,,,-,16,,,-,0,,3,,2,,10,,,-,0,,3,,,-,18,,"NEW JERSEY
(40.104655, -74.386686)",
VERMONT,2017,10,,-,0,,1,,,-,1,,,-,0,,1,,,-,1,,,-,0,,1,,1,,2,,"VERMONT
(43.622479, -72.51927)",
FLORIDA,2017,10,6,,2,,7,,33,,19,,5,,11,,17,,87,,98,,2,,4,,9,,44,,44,,"FLORIDA
(28.915325, -81.922409)",
TEXAS,2017,10,,-,2,,6,,6,,30,,4,,2,,15,,14,,13,,,-,0,,4,,6,,6,,"TEXAS
(31.827233, -99.423022)",
ALASKA,2017,10,,-,0,,1,,1,,,-,,-,0,,2,,1,,1,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
