Reporting Area,MMWR Year,MMWR Week,"Babesiosis, Current week","Babesiosis, Current week, flag","Babesiosis, Previous 52 weeks Med","Babesiosis, Previous 52 weeks Med, flag","Babesiosis, Previous 52 weeks Max","Babesiosis, Previous 52 weeks Max, flag","Babesiosis, Cum 2017","Babesiosis, Cum 2017, flag","Babesiosis, Cum 2016","Babesiosis, Cum 2016, flag","Campylobacteriosis, Current week","Campylobacteriosis, Current week, flag","Campylobacteriosis, Previous 52 weeks Med","Campylobacteriosis, Previous 52 weeks Med, flag","Campylobacteriosis, Previous 52 weeks Max","Campylobacteriosis, Previous 52 weeks Max, flag","Campylobacteriosis, Cum 2017","Campylobacteriosis, Cum 2017, flag","Campylobacteriosis, Cum 2016","Campylobacteriosis, Cum 2016, flag",Location 1,Location 2
CALIFORNIA,2017,13,,-,0,,1,,1,,,-,46,,165,,239,,1756,,1564,,"CALIFORNIA
(37.640735, -121.002435)",
SOUTH DAKOTA,2017,13,,-,0,,0,,,-,,-,1,,7,,24,,46,,76,,"SOUTH DAKOTA
(44.35371, -100.373709)",
FLORIDA,2017,13,,N,0,,0,,,N,,N,82,,40,,59,,527,,452,,"FLORIDA
(28.915325, -81.922409)",
PENNSYLVANIA,2017,13,,N,0,,0,,,N,,N,3,,78,,160,,586,,772,,"PENNSYLVANIA
(40.789676, -77.858055)",
MICHIGAN,2017,13,,-,0,,2,,,-,,-,,-,30,,51,,164,,239,,"MICHIGAN
(44.66399, -84.711206)",
RHODE ISLAND,2017,13,,-,1,,24,,,-,5,,,-,4,,13,,30,,40,,"RHODE ISLAND
(41.707447, -71.522488)",
WEST VIRGINIA,2017,13,,-,0,,0,,,-,,-,,-,4,,14,,15,,26,,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW JERSEY,2017,13,,-,1,,16,,5,,,-,,-,32,,66,,321,,360,,"NEW JERSEY
(40.104655, -74.386686)",
SOUTH CAROLINA,2017,13,,-,0,,1,,,-,1,,,-,7,,16,,68,,67,,"SOUTH CAROLINA
(34.009286, -81.037094)",
OKLAHOMA,2017,13,,N,0,,0,,,N,,N,2,,21,,45,,82,,167,,"OKLAHOMA
(35.468494, -97.521264)",
HAWAII,2017,13,,N,0,,0,,,N,,N,,-,8,,25,,70,,66,,"HAWAII
(21.30992, -157.858158)",
UTAH,2017,13,,-,0,,1,,,-,,-,,-,9,,27,,65,,86,,"UTAH
(39.359772, -111.584173)",
KENTUCKY,2017,13,,-,0,,1,,,-,,-,,-,13,,27,,145,,145,,"KENTUCKY
(37.64591, -84.774043)",
UNITED STATES,2017,14,,-,15,,146,,38,,52,,606,,1101,,1656,,10443,,10710,,,
NEW ENGLAND,2017,14,,-,6,,110,,12,,31,,8,,52,,102,,462,,555,,,
MID. ATLANTIC,2017,14,,-,6,,38,,19,,17,,70,,177,,308,,1731,,1847,,,
NEW YORK CITY,2017,14,,-,1,,9,,5,,6,,33,,35,,54,,483,,362,,,
E.N. CENTRAL,2017,14,,-,1,,7,,2,,,-,46,,150,,253,,1324,,1622,,,
W.N. CENTRAL,2017,14,,-,0,,1,,,-,1,,30,,74,,154,,615,,771,,,
S. ATLANTIC,2017,14,,-,0,,2,,3,,2,,117,,137,,216,,1491,,1605,,,
E.S. CENTRAL,2017,14,,-,0,,1,,1,,,-,16,,45,,75,,533,,524,,,
W.S. CENTRAL,2017,14,,-,0,,1,,,-,,-,69,,121,,247,,1019,,724,,,
MOUNTAIN,2017,14,,-,0,,1,,,-,,-,38,,80,,143,,805,,819,,,
PACIFIC,2017,14,,-,0,,1,,1,,1,,212,,236,,341,,2463,,2243,,,
AMER. SAMOA,2017,14,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,,
FLORIDA,2017,14,,N,0,,0,,,N,,N,80,,40,,82,,622,,485,,"FLORIDA
(28.915325, -81.922409)",
VIRGINIA,2017,14,,N,0,,0,,,N,,N,13,,26,,66,,210,,309,,"VIRGINIA
(37.542699, -78.45822)",
NEW HAMPSHIRE,2017,14,,-,0,,2,,,-,,-,,-,5,,12,,50,,38,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
PENNSYLVANIA,2017,14,,N,0,,0,,,N,,N,18,,78,,160,,627,,838,,"PENNSYLVANIA
(40.789676, -77.858055)",
MAINE,2017,14,,-,0,,10,,5,,2,,,-,4,,12,,41,,35,,"MAINE
(45.252223, -68.986647)",
NEBRASKA,2017,14,,-,0,,1,,,-,,-,3,,10,,25,,85,,88,,"NEBRASKA
(41.640503, -99.367122)",
TEXAS,2017,14,,-,0,,1,,,-,,-,55,,80,,223,,734,,354,,"TEXAS
(31.827233, -99.423022)",
WEST VIRGINIA,2017,14,,-,0,,0,,,-,,-,,-,4,,14,,15,,33,,"WEST VIRGINIA
(38.668501, -80.709421)",
IDAHO,2017,14,,N,0,,0,,,N,,N,9,,8,,20,,96,,79,,"IDAHO
(43.680635, -114.364237)",
NEW JERSEY,2017,14,,-,1,,16,,5,,,-,,-,31,,66,,335,,387,,"NEW JERSEY
(40.104655, -74.386686)",
WISCONSIN,2017,14,,-,1,,7,,2,,,-,5,,28,,59,,237,,325,,"WISCONSIN
(44.395526, -89.834513)",
ALASKA,2017,14,,N,0,,0,,,N,,N,,-,2,,7,,18,,14,,"ALASKA
(64.836661, -147.738891)",
CALIFORNIA,2017,14,,-,0,,1,,1,,,-,80,,165,,239,,1920,,1698,,"CALIFORNIA
(37.640735, -121.002435)",
PUERTO RICO,2017,14,,N,0,,0,,,N,,N,,-,1,,2,,6,,12,,"PUERTO RICO
(18.215692, -66.414655)",
RHODE ISLAND,2017,14,,-,1,,25,,,-,5,,,-,4,,13,,31,,45,,"RHODE ISLAND
(41.707447, -71.522488)",
ARKANSAS,2017,14,,-,0,,0,,,-,,-,9,,9,,29,,109,,84,,"ARKANSAS
(34.748745, -92.275105)",
INDIANA,2017,14,,-,0,,0,,,-,,-,1,,17,,31,,150,,194,,"INDIANA
(39.76845, -86.156212)",
VERMONT,2017,14,,-,0,,5,,,-,,-,1,,4,,10,,26,,38,,"VERMONT
(43.622479, -72.51927)",
HAWAII,2017,14,,N,0,,0,,,N,,N,1,,8,,25,,77,,69,,"HAWAII
(21.30992, -157.858158)",
KANSAS,2017,14,,N,0,,0,,,N,,N,,-,13,,33,,84,,135,,"KANSAS
(38.345528, -98.201847)",
ALABAMA,2017,14,,-,0,,1,,1,,,-,,-,13,,25,,130,,157,,"ALABAMA
(32.839182, -86.631125)",
DIST. OF COL.,2017,14,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
OHIO,2017,14,,-,0,,0,,,-,,-,40,,37,,63,,400,,442,,"OHIO
(40.056807, -82.405897)",
SOUTH CAROLINA,2017,14,,-,0,,1,,,-,1,,1,,8,,16,,77,,75,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MINNESOTA,2017,14,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
VIRGIN ISL.,2017,14,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
CONNECTICUT,2017,14,,-,2,,32,,4,,11,,,-,10,,35,,87,,121,,"CONNECTICUT
(41.544654, -72.651713)",
WASHINGTON,2017,14,,-,0,,0,,,-,,-,119,,23,,169,,260,,270,,"WASHINGTON
(47.517368, -120.467672)",
LOUISIANA,2017,14,,-,0,,1,,,-,,-,1,,11,,23,,90,,107,,"LOUISIANA
(31.2931, -92.463284)",
ARIZONA,2017,14,,-,0,,0,,,-,,-,14,,22,,51,,239,,246,,"ARIZONA
(34.869712, -111.760902)",
MASSACHUSETTS,2017,14,,-,3,,50,,3,,13,,7,,26,,44,,227,,278,,"MASSACHUSETTS
(42.268546, -72.085064)",
GUAM,2017,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
SOUTH DAKOTA,2017,14,,-,0,,0,,,-,,-,,-,7,,24,,46,,78,,"SOUTH DAKOTA
(44.35371, -100.373709)",
COLORADO,2017,14,,N,0,,0,,,N,,N,12,,18,,45,,189,,183,,"COLORADO
(38.841772, -106.132562)",
IOWA,2017,14,,-,0,,1,,,-,,-,16,,17,,43,,161,,183,,"IOWA
(42.46942, -93.815856)",
UTAH,2017,14,,-,0,,1,,,-,,-,,-,9,,27,,84,,94,,"UTAH
(39.359772, -111.584173)",
ILLINOIS,2017,14,,-,0,,1,,,-,,-,,-,37,,64,,277,,398,,"ILLINOIS
(40.477092, -88.993221)",
NEW MEXICO,2017,14,,N,0,,0,,,N,,N,,-,10,,27,,80,,84,,"NEW MEXICO
(34.520396, -106.244402)",
DELAWARE,2017,14,,-,0,,1,,,-,,-,,-,3,,9,,15,,30,,"DELAWARE
(39.008676, -75.574561)",
OREGON,2017,14,,-,0,,1,,,-,1,,12,,18,,37,,188,,192,,"OREGON
(44.567912, -120.156945)",
KENTUCKY,2017,14,,-,0,,1,,,-,,-,,-,13,,27,,155,,156,,"KENTUCKY
(37.64591, -84.774043)",
NORTH CAROLINA,2017,14,,N,0,,0,,,N,,N,,-,26,,49,,172,,277,,"NORTH CAROLINA
(35.47995, -79.180571)",
TENNESSEE,2017,14,,-,0,,1,,,-,,-,7,,13,,31,,148,,163,,"TENNESSEE
(35.681402, -85.774444)",
NEVADA,2017,14,,N,0,,0,,,N,,N,,-,3,,12,,39,,38,,"NEVADA
(39.491833, -117.070159)",
MONTANA,2017,14,,-,0,,1,,,-,,-,,-,6,,14,,41,,74,,"MONTANA
(47.062617, -109.430168)",
GEORGIA,2017,14,,N,0,,0,,,N,,N,10,,18,,34,,215,,210,,"GEORGIA
(32.836038, -83.631709)",
C.N.M.I.,2017,14,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW YORK,2017,14,,-,2,,26,,9,,11,,19,,33,,60,,286,,260,,"NEW YORK
(42.826892, -75.544286)",
NORTH DAKOTA,2017,14,,-,0,,0,,,-,1,,,-,0,,9,,,-,37,,"NORTH DAKOTA
(47.475879, -100.121011)",
MARYLAND,2017,14,,-,0,,2,,3,,1,,13,,16,,32,,165,,186,,"MARYLAND
(39.290443, -76.612333)",
WYOMING,2017,14,,-,0,,0,,,-,,-,3,,3,,9,,37,,21,,"WYOMING
(43.23558, -108.110518)",
MICHIGAN,2017,14,,-,0,,2,,,-,,-,,-,32,,54,,260,,263,,"MICHIGAN
(44.66399, -84.711206)",
MISSOURI,2017,14,,N,0,,0,,,N,,N,11,,23,,57,,239,,250,,"MISSOURI
(38.636168, -92.566292)",
MISSISSIPPI,2017,14,,N,0,,0,,,N,,N,9,,6,,15,,100,,48,,"MISSISSIPPI
(32.738663, -89.537312)",
OKLAHOMA,2017,14,,N,0,,0,,,N,,N,4,,21,,45,,86,,179,,"OKLAHOMA
(35.468494, -97.521264)",
UNITED STATES,2017,15,2,,15,,146,,40,,55,,360,,1107,,1665,,11093,,11687,,,
NEW ENGLAND,2017,15,,-,6,,110,,12,,32,,2,,52,,102,,479,,608,,,
MID. ATLANTIC,2017,15,2,,6,,38,,21,,18,,95,,177,,308,,1906,,1967,,,
NEW YORK CITY,2017,15,1,,0,,9,,6,,7,,50,,35,,54,,533,,394,,,
E.N. CENTRAL,2017,15,,-,1,,7,,2,,,-,28,,152,,256,,1417,,1789,,,
W.N. CENTRAL,2017,15,,-,0,,1,,,-,1,,24,,77,,157,,711,,833,,,
S. ATLANTIC,2017,15,,-,0,,2,,3,,2,,21,,139,,217,,1380,,1739,,,
E.S. CENTRAL,2017,15,,-,0,,1,,1,,,-,18,,45,,75,,587,,552,,,
W.S. CENTRAL,2017,15,,-,0,,1,,,-,,-,22,,121,,250,,1049,,817,,,
MOUNTAIN,2017,15,,-,0,,1,,,-,1,,34,,80,,143,,862,,891,,,
PACIFIC,2017,15,,-,0,,1,,1,,1,,116,,241,,341,,2702,,2491,,,
AMER. SAMOA,2017,15,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,,
VIRGIN ISL.,2017,15,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MISSISSIPPI,2017,15,,N,0,,0,,,N,,N,7,,6,,15,,114,,54,,"MISSISSIPPI
(32.738663, -89.537312)",
KENTUCKY,2017,15,,-,0,,1,,,-,,-,1,,13,,27,,157,,165,,"KENTUCKY
(37.64591, -84.774043)",
TEXAS,2017,15,,-,0,,1,,,-,,-,1,,81,,223,,742,,420,,"TEXAS
(31.827233, -99.423022)",
ARKANSAS,2017,15,,-,0,,0,,,-,,-,9,,10,,29,,119,,88,,"ARKANSAS
(34.748745, -92.275105)",
MICHIGAN,2017,15,,-,0,,2,,,-,,-,,-,32,,54,,261,,290,,"MICHIGAN
(44.66399, -84.711206)",
TENNESSEE,2017,15,,-,0,,1,,,-,,-,5,,13,,31,,153,,171,,"TENNESSEE
(35.681402, -85.774444)",
WYOMING,2017,15,,-,0,,0,,,-,,-,,-,3,,9,,37,,23,,"WYOMING
(43.23558, -108.110518)",
WASHINGTON,2017,15,,-,0,,0,,,-,,-,31,,25,,169,,290,,325,,"WASHINGTON
(47.517368, -120.467672)",
SOUTH CAROLINA,2017,15,,-,0,,1,,,-,1,,,-,7,,16,,83,,78,,"SOUTH CAROLINA
(34.009286, -81.037094)",
COLORADO,2017,15,,N,0,,0,,,N,,N,18,,18,,45,,207,,201,,"COLORADO
(38.841772, -106.132562)",
OHIO,2017,15,,-,0,,0,,,-,,-,28,,37,,63,,428,,475,,"OHIO
(40.056807, -82.405897)",
PUERTO RICO,2017,15,,N,0,,0,,,N,,N,,-,1,,2,,6,,14,,"PUERTO RICO
(18.215692, -66.414655)",
NEW JERSEY,2017,15,,-,1,,16,,5,,,-,,-,31,,66,,358,,410,,"NEW JERSEY
(40.104655, -74.386686)",
MINNESOTA,2017,15,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
HAWAII,2017,15,,N,0,,0,,,N,,N,2,,8,,25,,86,,77,,"HAWAII
(21.30992, -157.858158)",
GUAM,2017,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
INDIANA,2017,15,,-,0,,0,,,-,,-,,-,19,,36,,168,,225,,"INDIANA
(39.76845, -86.156212)",
FLORIDA,2017,15,,N,0,,0,,,N,,N,,-,39,,59,,392,,518,,"FLORIDA
(28.915325, -81.922409)",
UTAH,2017,15,,-,0,,1,,,-,1,,,-,9,,27,,85,,97,,"UTAH
(39.359772, -111.584173)",
NEW YORK,2017,15,1,,2,,26,,10,,11,,17,,33,,60,,303,,273,,"NEW YORK
(42.826892, -75.544286)",
NORTH DAKOTA,2017,15,,-,0,,0,,,-,1,,1,,3,,11,,45,,39,,"NORTH DAKOTA
(47.475879, -100.121011)",
OKLAHOMA,2017,15,,N,0,,0,,,N,,N,3,,21,,45,,89,,189,,"OKLAHOMA
(35.468494, -97.521264)",
ILLINOIS,2017,15,,-,0,,1,,,-,,-,,-,37,,64,,323,,437,,"ILLINOIS
(40.477092, -88.993221)",
NEBRASKA,2017,15,,-,0,,1,,,-,,-,6,,10,,25,,94,,97,,"NEBRASKA
(41.640503, -99.367122)",
MASSACHUSETTS,2017,15,,-,3,,50,,3,,13,,,-,26,,44,,227,,293,,"MASSACHUSETTS
(42.268546, -72.085064)",
MAINE,2017,15,,-,0,,10,,5,,2,,,-,4,,12,,41,,46,,"MAINE
(45.252223, -68.986647)",
NORTH CAROLINA,2017,15,,N,0,,0,,,N,,N,,-,27,,49,,242,,310,,"NORTH CAROLINA
(35.47995, -79.180571)",
RHODE ISLAND,2017,15,,-,1,,25,,,-,5,,,-,4,,13,,33,,46,,"RHODE ISLAND
(41.707447, -71.522488)",
VERMONT,2017,15,,-,0,,5,,,-,,-,1,,4,,10,,27,,42,,"VERMONT
(43.622479, -72.51927)",
LOUISIANA,2017,15,,-,0,,1,,,-,,-,9,,11,,23,,99,,120,,"LOUISIANA
(31.2931, -92.463284)",
NEVADA,2017,15,,N,0,,0,,,N,,N,,-,3,,12,,42,,46,,"NEVADA
(39.491833, -117.070159)",
ARIZONA,2017,15,,-,0,,0,,,-,,-,10,,22,,51,,255,,268,,"ARIZONA
(34.869712, -111.760902)",
MISSOURI,2017,15,,N,0,,0,,,N,,N,17,,23,,57,,267,,269,,"MISSOURI
(38.636168, -92.566292)",
IDAHO,2017,15,,N,0,,0,,,N,,N,4,,8,,20,,103,,85,,"IDAHO
(43.680635, -114.364237)",
NEW HAMPSHIRE,2017,15,,-,0,,2,,,-,,-,1,,5,,12,,59,,42,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW MEXICO,2017,15,,N,0,,0,,,N,,N,1,,10,,27,,86,,91,,"NEW MEXICO
(34.520396, -106.244402)",
PENNSYLVANIA,2017,15,,N,0,,0,,,N,,N,28,,78,,160,,712,,890,,"PENNSYLVANIA
(40.789676, -77.858055)",
OREGON,2017,15,,-,0,,1,,,-,1,,12,,18,,37,,210,,209,,"OREGON
(44.567912, -120.156945)",
GEORGIA,2017,15,,N,0,,0,,,N,,N,,-,18,,34,,215,,227,,"GEORGIA
(32.836038, -83.631709)",
CALIFORNIA,2017,15,,-,0,,1,,1,,,-,71,,165,,239,,2098,,1865,,"CALIFORNIA
(37.640735, -121.002435)",
WISCONSIN,2017,15,,-,1,,7,,2,,,-,,-,28,,59,,237,,362,,"WISCONSIN
(44.395526, -89.834513)",
C.N.M.I.,2017,15,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
IOWA,2017,15,,-,0,,1,,,-,,-,,-,17,,43,,161,,194,,"IOWA
(42.46942, -93.815856)",
KANSAS,2017,15,,N,0,,0,,,N,,N,,-,13,,33,,93,,144,,"KANSAS
(38.345528, -98.201847)",
SOUTH DAKOTA,2017,15,,-,0,,0,,,-,,-,,-,7,,24,,51,,90,,"SOUTH DAKOTA
(44.35371, -100.373709)",
ALABAMA,2017,15,,-,0,,1,,1,,,-,5,,13,,25,,163,,162,,"ALABAMA
(32.839182, -86.631125)",
VIRGINIA,2017,15,,N,0,,0,,,N,,N,11,,27,,68,,236,,335,,"VIRGINIA
(37.542699, -78.45822)",
DELAWARE,2017,15,,-,0,,1,,,-,,-,,-,3,,9,,19,,32,,"DELAWARE
(39.008676, -75.574561)",
DIST. OF COL.,2017,15,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
CONNECTICUT,2017,15,,-,2,,32,,4,,12,,,-,10,,35,,92,,139,,"CONNECTICUT
(41.544654, -72.651713)",
MARYLAND,2017,15,,-,0,,2,,3,,1,,9,,16,,32,,176,,198,,"MARYLAND
(39.290443, -76.612333)",
MONTANA,2017,15,,-,0,,1,,,-,,-,1,,6,,14,,47,,80,,"MONTANA
(47.062617, -109.430168)",
WEST VIRGINIA,2017,15,,-,0,,0,,,-,,-,1,,4,,14,,17,,41,,"WEST VIRGINIA
(38.668501, -80.709421)",
ALASKA,2017,15,,N,0,,0,,,N,,N,,-,2,,7,,18,,15,,"ALASKA
(64.836661, -147.738891)",
