Reporting Area,MMWR Year,MMWR Week,"Spotted Fever Rickettsiosis§, Confirmed, Current week","Spotted Fever Rickettsiosis§, Confirmed, Current week, flag","Spotted Fever Rickettsiosis§, Confirmed, Previous 52 weeks Med","Spotted Fever Rickettsiosis§, Confirmed, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis§, Confirmed, Previous 52 weeks Max","Spotted Fever Rickettsiosis§, Confirmed, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis§, Confirmed, Cum 2017","Spotted Fever Rickettsiosis§, Confirmed, Cum 2017, flag","Spotted Fever Rickettsiosis§, Confirmed, Cum 2016","Spotted Fever Rickettsiosis§, Confirmed, Cum 2016, flag","Spotted Fever Rickettsiosis§, Probable, Current week","Spotted Fever Rickettsiosis§, Probable, Current week, flag","Spotted Fever Rickettsiosis§, Probable, Previous 52 weeks Med","Spotted Fever Rickettsiosis§, Probable, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis§, Probable, Previous 52 weeks Max","Spotted Fever Rickettsiosis§, Probable, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis§, Probable, Cum 2017","Spotted Fever Rickettsiosis§, Probable, Cum 2017, flag","Spotted Fever Rickettsiosis§, Probable, Cum 2016","Spotted Fever Rickettsiosis§, Probable, Cum 2016, flag","Syphilis, primary and secondary, Current week","Syphilis, primary and secondary, Current week, flag","Syphilis, primary and secondary, Previous 52 weeks Med","Syphilis, primary and secondary, Previous 52 weeks Med, flag","Syphilis, primary and secondary, Previous 52 weeks Max","Syphilis, primary and secondary, Previous 52 weeks Max, flag","Syphilis, primary and secondary, Cum 2017","Syphilis, primary and secondary, Cum 2017, flag","Syphilis, primary and secondary, Cum 2016","Syphilis, primary and secondary, Cum 2016, flag",Location 1,Location 2
ALASKA,2017,8,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WASHINGTON,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,7,,9,,21,,57,,73,,"WASHINGTON
(47.517368, -120.467672)",
OHIO,2017,8,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,13,,22,,64,,122,,"OHIO
(40.056807, -82.405897)",
IOWA,2017,8,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,1,,1,,4,,8,,14,,"IOWA
(42.46942, -93.815856)",
VERMONT,2017,8,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,1,,5,,"VERMONT
(43.622479, -72.51927)",
GEORGIA,2017,8,,-,1,,8,,1,,6,,,-,0,,0,,,-,,-,,-,21,,41,,,-,292,,"GEORGIA
(32.836038, -83.631709)",
NEW YORK,2017,8,,-,0,,1,,,-,,-,1,,0,,2,,1,,1,,6,,10,,21,,63,,47,,"NEW YORK
(42.826892, -75.544286)",
FLORIDA,2017,8,,-,0,,1,,1,,,-,,-,0,,2,,2,,,-,4,,47,,66,,266,,316,,"FLORIDA
(28.915325, -81.922409)",
IDAHO,2017,8,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,1,,3,,1,,13,,"IDAHO
(43.680635, -114.364237)",
OKLAHOMA,2017,8,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,2,,9,,3,,50,,"OKLAHOMA
(35.468494, -97.521264)",
UTAH,2017,8,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,6,,2,,17,,"UTAH
(39.359772, -111.584173)",
MINNESOTA,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,11,,,-,62,,"MINNESOTA
(46.357661, -94.793397)",
NEW HAMPSHIRE,2017,8,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,2,,1,,11,,10,,11,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NORTH CAROLINA,2017,8,,-,0,,2,,,-,,-,,-,7,,29,,,-,11,,,-,19,,28,,37,,172,,"NORTH CAROLINA
(35.47995, -79.180571)",
TEXAS,2017,8,,-,0,,1,,,-,,-,,-,1,,7,,3,,,-,21,,38,,55,,304,,298,,"TEXAS
(31.827233, -99.423022)",
MASSACHUSETTS,2017,8,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,8,,19,,32,,84,,"MASSACHUSETTS
(42.268546, -72.085064)",
OREGON,2017,8,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,5,,6,,15,,35,,53,,"OREGON
(44.567912, -120.156945)",
CALIFORNIA,2017,8,,-,0,,0,,,-,,-,,-,0,,2,,,-,3,,14,,109,,144,,559,,876,,"CALIFORNIA
(37.640735, -121.002435)",
WEST VIRGINIA,2017,8,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,4,,2,,9,,"WEST VIRGINIA
(38.668501, -80.709421)",
GUAM,2017,8,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
VIRGINIA,2017,8,,-,0,,1,,,-,,-,,-,4,,19,,2,,7,,,-,1,,41,,,-,46,,"VIRGINIA
(37.542699, -78.45822)",
RHODE ISLAND,2017,8,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,15,,,-,15,,"RHODE ISLAND
(41.707447, -71.522488)",
NEVADA,2017,8,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,8,,25,,41,,48,,"NEVADA
(39.491833, -117.070159)",
MICHIGAN,2017,8,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,-,6,,12,,11,,56,,"MICHIGAN
(44.66399, -84.711206)",
CONNECTICUT,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,3,,23,,"CONNECTICUT
(41.544654, -72.651713)",
VIRGIN ISL.,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ARKANSAS,2017,8,,-,0,,1,,,-,,-,,-,8,,75,,10,,9,,,-,2,,11,,14,,27,,"ARKANSAS
(34.748745, -92.275105)",
NORTH DAKOTA,2017,8,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,2,,4,,"NORTH DAKOTA
(47.475879, -100.121011)",
HAWAII,2017,8,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,2,,1,,6,,7,,14,,"HAWAII
(21.30992, -157.858158)",
ARIZONA,2017,8,1,,0,,2,,2,,,-,,-,0,,1,,1,,,-,,-,13,,23,,47,,98,,"ARIZONA
(34.869712, -111.760902)",
MISSISSIPPI,2017,8,,-,0,,0,,,-,,-,,-,1,,7,,2,,2,,,-,5,,13,,26,,37,,"MISSISSIPPI
(32.738663, -89.537312)",
LOUISIANA,2017,8,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,2,,12,,30,,52,,95,,"LOUISIANA
(31.2931, -92.463284)",
MONTANA,2017,8,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,3,,"MONTANA
(47.062617, -109.430168)",
NEW MEXICO,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,11,,11,,35,,"NEW MEXICO
(34.520396, -106.244402)",
INDIANA,2017,8,,-,0,,0,,,-,,-,,-,0,,6,,,-,,-,2,,6,,12,,34,,56,,"INDIANA
(39.76845, -86.156212)",
C.N.M.I.,2017,8,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
COLORADO,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,4,,14,,31,,38,,"COLORADO
(38.841772, -106.132562)",
MISSOURI,2017,8,,-,0,,1,,,-,,-,,-,5,,22,,2,,4,,2,,7,,14,,37,,70,,"MISSOURI
(38.636168, -92.566292)",
PUERTO RICO,2017,8,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,8,,26,,37,,86,,"PUERTO RICO
(18.215692, -66.414655)",
DELAWARE,2017,8,,-,0,,0,,,-,,-,,-,0,,3,,,-,3,,1,,0,,7,,2,,15,,"DELAWARE
(39.008676, -75.574561)",
WYOMING,2017,8,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,"WYOMING
(43.23558, -108.110518)",
KANSAS,2017,8,,-,0,,1,,,-,,-,,-,1,,10,,,-,1,,,-,2,,6,,15,,15,,"KANSAS
(38.345528, -98.201847)",
UNITED STATES,2017,9,1,,3,,11,,4,,8,,4,,59,,216,,64,,93,,93,,509,,610,,2590,,4722,,,
NEW ENGLAND,2017,9,,-,0,,0,,,-,,-,,-,0,,2,,1,,,-,2,,14,,29,,53,,165,,,
MID. ATLANTIC,2017,9,,-,0,,1,,,-,,-,1,,2,,13,,8,,7,,20,,65,,91,,383,,580,,,
NEW YORK CITY,2017,9,,-,0,,0,,,-,,-,1,,0,,3,,1,,2,,3,,35,,49,,187,,316,,,
E.N. CENTRAL,2017,9,,-,0,,2,,,-,,-,,-,2,,15,,,-,2,,,-,51,,67,,146,,491,,,
W.N. CENTRAL,2017,9,,-,0,,2,,,-,,-,,-,7,,28,,2,,6,,2,,18,,29,,106,,190,,,
S. ATLANTIC,2017,9,1,,1,,10,,3,,6,,1,,17,,44,,13,,25,,6,,111,,162,,456,,1139,,,
E.S. CENTRAL,2017,9,,-,0,,4,,,-,2,,1,,21,,65,,24,,39,,6,,22,,38,,91,,195,,,
W.S. CENTRAL,2017,9,,-,0,,1,,,-,,-,1,,10,,80,,15,,11,,29,,57,,71,,421,,524,,,
MOUNTAIN,2017,9,,-,0,,2,,1,,,-,,-,0,,2,,1,,,-,,-,31,,55,,161,,290,,,
PACIFIC,2017,9,,-,0,,1,,,-,,-,,-,0,,2,,,-,3,,28,,128,,162,,773,,1148,,,
AMER. SAMOA,2017,9,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,
NEBRASKA,2017,9,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,,-,1,,6,,2,,4,,"NEBRASKA
(41.640503, -99.367122)",
OHIO,2017,9,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,13,,22,,71,,138,,"OHIO
(40.056807, -82.405897)",
GEORGIA,2017,9,,-,1,,8,,1,,6,,,-,0,,0,,,-,,-,,-,20,,41,,,-,312,,"GEORGIA
(32.836038, -83.631709)",
ALABAMA,2017,9,,-,0,,1,,,-,,-,,-,7,,24,,5,,18,,,-,6,,14,,24,,49,,"ALABAMA
(32.839182, -86.631125)",
MISSOURI,2017,9,,-,0,,1,,,-,,-,,-,5,,22,,2,,4,,1,,7,,14,,43,,79,,"MISSOURI
(38.636168, -92.566292)",
DIST. OF COL.,2017,9,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,1,,7,,2,,18,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
LOUISIANA,2017,9,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,1,,12,,30,,60,,101,,"LOUISIANA
(31.2931, -92.463284)",
WASHINGTON,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,10,,23,,61,,81,,"WASHINGTON
(47.517368, -120.467672)",
NORTH CAROLINA,2017,9,,-,0,,2,,,-,,-,,-,7,,29,,1,,13,,,-,19,,28,,67,,199,,"NORTH CAROLINA
(35.47995, -79.180571)",
GUAM,2017,9,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MAINE,2017,9,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,1,,4,,3,,9,,"MAINE
(45.252223, -68.986647)",
VIRGINIA,2017,9,,-,0,,1,,,-,,-,,-,5,,19,,2,,7,,,-,0,,41,,,-,52,,"VIRGINIA
(37.542699, -78.45822)",
ALASKA,2017,9,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
RHODE ISLAND,2017,9,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,17,,,-,16,,"RHODE ISLAND
(41.707447, -71.522488)",
IDAHO,2017,9,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,1,,13,,"IDAHO
(43.680635, -114.364237)",
C.N.M.I.,2017,9,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
OKLAHOMA,2017,9,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,2,,9,,3,,59,,"OKLAHOMA
(35.468494, -97.521264)",
MASSACHUSETTS,2017,9,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,8,,19,,32,,95,,"MASSACHUSETTS
(42.268546, -72.085064)",
INDIANA,2017,9,,-,0,,0,,,-,,-,,-,0,,6,,,-,,-,,-,6,,12,,40,,63,,"INDIANA
(39.76845, -86.156212)",
TENNESSEE,2017,9,,-,0,,1,,,-,1,,1,,10,,40,,8,,9,,2,,6,,13,,16,,76,,"TENNESSEE
(35.681402, -85.774444)",
ILLINOIS,2017,9,,-,0,,1,,,-,,-,,-,1,,7,,,-,,-,,-,23,,38,,4,,204,,"ILLINOIS
(40.477092, -88.993221)",
SOUTH CAROLINA,2017,9,,-,0,,1,,,-,,-,,-,1,,2,,3,,2,,,-,5,,13,,39,,75,,"SOUTH CAROLINA
(34.009286, -81.037094)",
PUERTO RICO,2017,9,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,8,,26,,47,,112,,"PUERTO RICO
(18.215692, -66.414655)",
CALIFORNIA,2017,9,,-,0,,0,,,-,,-,,-,0,,2,,,-,3,,19,,109,,150,,664,,987,,"CALIFORNIA
(37.640735, -121.002435)",
NEW YORK,2017,9,,-,0,,1,,,-,,-,,-,0,,2,,1,,1,,13,,10,,27,,76,,57,,"NEW YORK
(42.826892, -75.544286)",
TEXAS,2017,9,,-,0,,1,,,-,,-,1,,1,,7,,4,,,-,28,,38,,55,,343,,335,,"TEXAS
(31.827233, -99.423022)",
IOWA,2017,9,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,4,,8,,14,,"IOWA
(42.46942, -93.815856)",
OREGON,2017,9,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,5,,6,,15,,41,,64,,"OREGON
(44.567912, -120.156945)",
SOUTH DAKOTA,2017,9,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,3,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW JERSEY,2017,9,,-,0,,1,,,-,,-,,-,1,,8,,4,,2,,,-,7,,16,,22,,78,,"NEW JERSEY
(40.104655, -74.386686)",
COLORADO,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,14,,35,,43,,"COLORADO
(38.841772, -106.132562)",
WYOMING,2017,9,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,"WYOMING
(43.23558, -108.110518)",
WEST VIRGINIA,2017,9,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,4,,2,,12,,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW MEXICO,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,11,,15,,43,,"NEW MEXICO
(34.520396, -106.244402)",
KENTUCKY,2017,9,,-,0,,2,,,-,1,,,-,2,,11,,8,,8,,2,,3,,10,,20,,30,,"KENTUCKY
(37.64591, -84.774043)",
MARYLAND,2017,9,1,,0,,2,,1,,,-,,-,1,,5,,4,,,-,2,,8,,15,,38,,91,,"MARYLAND
(39.290443, -76.612333)",
NORTH DAKOTA,2017,9,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,2,,5,,"NORTH DAKOTA
(47.475879, -100.121011)",
MONTANA,2017,9,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,3,,"MONTANA
(47.062617, -109.430168)",
VERMONT,2017,9,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,1,,5,,"VERMONT
(43.622479, -72.51927)",
FLORIDA,2017,9,,-,0,,1,,1,,,-,1,,0,,2,,3,,,-,4,,48,,66,,306,,365,,"FLORIDA
(28.915325, -81.922409)",
MICHIGAN,2017,9,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,-,6,,12,,11,,59,,"MICHIGAN
(44.66399, -84.711206)",
VIRGIN ISL.,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEVADA,2017,9,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,8,,25,,48,,59,,"NEVADA
(39.491833, -117.070159)",
DELAWARE,2017,9,,-,0,,0,,,-,,-,,-,0,,3,,,-,3,,,-,0,,7,,2,,15,,"DELAWARE
(39.008676, -75.574561)",
MISSISSIPPI,2017,9,,-,0,,0,,,-,,-,,-,2,,7,,3,,4,,2,,5,,13,,31,,40,,"MISSISSIPPI
(32.738663, -89.537312)",
MINNESOTA,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,5,,11,,35,,69,,"MINNESOTA
(46.357661, -94.793397)",
PENNSYLVANIA,2017,9,,-,0,,1,,,-,,-,,-,0,,3,,2,,2,,4,,15,,24,,98,,129,,"PENNSYLVANIA
(40.789676, -77.858055)",
KANSAS,2017,9,,-,0,,1,,,-,,-,,-,1,,10,,,-,2,,,-,2,,6,,16,,16,,"KANSAS
(38.345528, -98.201847)",
ARKANSAS,2017,9,,-,0,,1,,,-,,-,,-,8,,75,,10,,11,,,-,2,,11,,15,,29,,"ARKANSAS
(34.748745, -92.275105)",
WISCONSIN,2017,9,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,,-,2,,6,,20,,27,,"WISCONSIN
(44.395526, -89.834513)",
HAWAII,2017,9,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,6,,7,,16,,"HAWAII
(21.30992, -157.858158)",
ARIZONA,2017,9,,-,0,,2,,1,,,-,,-,0,,1,,1,,,-,,-,13,,23,,55,,108,,"ARIZONA
(34.869712, -111.760902)",
UTAH,2017,9,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,6,,6,,21,,"UTAH
(39.359772, -111.584173)",
NEW HAMPSHIRE,2017,9,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,2,,1,,11,,12,,12,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
CONNECTICUT,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,5,,28,,"CONNECTICUT
(41.544654, -72.651713)",
UNITED STATES,2017,10,,-,3,,11,,4,,8,,2,,59,,216,,81,,107,,93,,462,,562,,2845,,4821,,,
NEW ENGLAND,2017,10,,-,0,,0,,,-,,-,,-,0,,2,,1,,,-,2,,13,,29,,85,,182,,,
MID. ATLANTIC,2017,10,,-,0,,1,,,-,,-,,-,2,,13,,8,,8,,21,,65,,91,,445,,657,,,
NEW YORK CITY,2017,10,,-,0,,0,,,-,,-,,-,0,,3,,1,,2,,4,,34,,49,,223,,359,,,
E.N. CENTRAL,2017,10,,-,0,,2,,,-,,-,,-,2,,15,,,-,3,,1,,50,,67,,172,,552,,,
W.N. CENTRAL,2017,10,,-,0,,2,,,-,,-,,-,7,,28,,4,,7,,3,,18,,29,,124,,208,,,
S. ATLANTIC,2017,10,,-,1,,10,,3,,6,,1,,17,,44,,17,,26,,5,,111,,162,,543,,1258,,,
E.S. CENTRAL,2017,10,,-,0,,4,,,-,2,,,-,21,,65,,30,,44,,4,,22,,38,,117,,210,,,
W.S. CENTRAL,2017,10,,-,0,,1,,,-,,-,1,,10,,80,,18,,15,,30,,57,,71,,475,,589,,,
MOUNTAIN,2017,10,,-,0,,2,,1,,,-,,-,0,,2,,3,,1,,6,,31,,56,,211,,318,,,
PACIFIC,2017,10,,-,0,,1,,,-,,-,,-,0,,3,,,-,3,,21,,89,,120,,673,,847,,,
AMER. SAMOA,2017,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,
VERMONT,2017,10,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,1,,0,,3,,2,,5,,"VERMONT
(43.622479, -72.51927)",
NEW JERSEY,2017,10,,-,0,,1,,,-,,-,,-,1,,8,,4,,3,,,-,7,,16,,29,,88,,"NEW JERSEY
(40.104655, -74.386686)",
ALABAMA,2017,10,,-,0,,1,,,-,,-,,-,7,,24,,6,,21,,,-,6,,14,,24,,54,,"ALABAMA
(32.839182, -86.631125)",
NEW HAMPSHIRE,2017,10,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,11,,12,,13,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
GUAM,2017,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
KANSAS,2017,10,,-,0,,1,,,-,,-,,-,1,,10,,,-,2,,,-,2,,6,,19,,22,,"KANSAS
(38.345528, -98.201847)",
OHIO,2017,10,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,13,,22,,92,,155,,"OHIO
(40.056807, -82.405897)",
VIRGINIA,2017,10,,-,0,,1,,,-,,-,,-,5,,19,,2,,8,,,-,0,,41,,,-,56,,"VIRGINIA
(37.542699, -78.45822)",
NEW YORK,2017,10,,-,0,,1,,,-,,-,,-,0,,2,,1,,1,,12,,10,,28,,88,,69,,"NEW YORK
(42.826892, -75.544286)",
UTAH,2017,10,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,6,,10,,21,,"UTAH
(39.359772, -111.584173)",
TENNESSEE,2017,10,,-,0,,1,,,-,1,,,-,10,,40,,11,,11,,2,,7,,13,,38,,81,,"TENNESSEE
(35.681402, -85.774444)",
PENNSYLVANIA,2017,10,,-,0,,1,,,-,,-,,-,0,,3,,2,,2,,5,,15,,24,,105,,141,,"PENNSYLVANIA
(40.789676, -77.858055)",
MISSOURI,2017,10,,-,0,,1,,,-,,-,,-,5,,22,,4,,5,,3,,7,,14,,54,,85,,"MISSOURI
(38.636168, -92.566292)",
LOUISIANA,2017,10,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,1,,12,,30,,70,,117,,"LOUISIANA
(31.2931, -92.463284)",
DELAWARE,2017,10,,-,0,,0,,,-,,-,,-,0,,3,,,-,3,,,-,0,,7,,2,,17,,"DELAWARE
(39.008676, -75.574561)",
IDAHO,2017,10,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,1,,15,,"IDAHO
(43.680635, -114.364237)",
FLORIDA,2017,10,,-,0,,1,,1,,,-,,-,0,,2,,3,,,-,2,,47,,66,,349,,414,,"FLORIDA
(28.915325, -81.922409)",
NEVADA,2017,10,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,3,,8,,25,,63,,66,,"NEVADA
(39.491833, -117.070159)",
NEBRASKA,2017,10,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,,-,1,,6,,2,,4,,"NEBRASKA
(41.640503, -99.367122)",
CALIFORNIA,2017,10,,-,0,,0,,,-,,-,,-,0,,3,,,-,3,,11,,71,,108,,549,,667,,"CALIFORNIA
(37.640735, -121.002435)",
WEST VIRGINIA,2017,10,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,1,,0,,4,,6,,12,,"WEST VIRGINIA
(38.668501, -80.709421)",
SOUTH CAROLINA,2017,10,,-,0,,1,,,-,,-,1,,1,,2,,6,,2,,1,,5,,13,,52,,79,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MARYLAND,2017,10,,-,0,,2,,1,,,-,,-,1,,5,,5,,,-,1,,9,,15,,53,,103,,"MARYLAND
(39.290443, -76.612333)",
WASHINGTON,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,10,,23,,67,,94,,"WASHINGTON
(47.517368, -120.467672)",
ARKANSAS,2017,10,,-,0,,1,,,-,,-,1,,8,,75,,13,,14,,,-,2,,11,,18,,31,,"ARKANSAS
(34.748745, -92.275105)",
MONTANA,2017,10,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,3,,"MONTANA
(47.062617, -109.430168)",
CONNECTICUT,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,1,,7,,8,,33,,"CONNECTICUT
(41.544654, -72.651713)",
KENTUCKY,2017,10,,-,0,,2,,,-,1,,,-,2,,11,,10,,8,,1,,3,,10,,21,,31,,"KENTUCKY
(37.64591, -84.774043)",
SOUTH DAKOTA,2017,10,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,1,,3,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MISSISSIPPI,2017,10,,-,0,,0,,,-,,-,,-,1,,7,,3,,4,,1,,5,,13,,34,,44,,"MISSISSIPPI
(32.738663, -89.537312)",
NEW MEXICO,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,11,,18,,48,,"NEW MEXICO
(34.520396, -106.244402)",
ILLINOIS,2017,10,,-,0,,1,,,-,,-,,-,1,,7,,,-,1,,,-,22,,38,,5,,226,,"ILLINOIS
(40.477092, -88.993221)",
DIST. OF COL.,2017,10,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,1,,7,,2,,19,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
VIRGIN ISL.,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
HAWAII,2017,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,6,,9,,18,,"HAWAII
(21.30992, -157.858158)",
COLORADO,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,4,,14,,44,,46,,"COLORADO
(38.841772, -106.132562)",
C.N.M.I.,2017,10,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
OKLAHOMA,2017,10,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,1,,9,,4,,65,,"OKLAHOMA
(35.468494, -97.521264)",
RHODE ISLAND,2017,10,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,18,,,-,18,,"RHODE ISLAND
(41.707447, -71.522488)",
MAINE,2017,10,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,1,,4,,4,,10,,"MAINE
(45.252223, -68.986647)",
WYOMING,2017,10,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,"WYOMING
(43.23558, -108.110518)",
GEORGIA,2017,10,,-,1,,8,,1,,6,,,-,0,,0,,,-,,-,,-,20,,41,,,-,337,,"GEORGIA
(32.836038, -83.631709)",
MINNESOTA,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,11,,38,,74,,"MINNESOTA
(46.357661, -94.793397)",
WISCONSIN,2017,10,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,,-,2,,6,,20,,31,,"WISCONSIN
(44.395526, -89.834513)",
OREGON,2017,10,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,4,,6,,15,,48,,68,,"OREGON
(44.567912, -120.156945)",
TEXAS,2017,10,,-,0,,1,,,-,,-,,-,1,,7,,4,,1,,29,,39,,55,,383,,376,,"TEXAS
(31.827233, -99.423022)",
