 Reporting Area,MMWR Year,MMWR Week,"Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2017","Salmonellosis, Cum 2017, flag","Salmonellosis, Cum 2016","Salmonellosis, Cum 2016, flag","Shiga toxin-producing E. coli (STEC)§, Current week","Shiga toxin-producing E. coli (STEC)§, Current week, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2017","Shiga toxin-producing E. coli (STEC)§, Cum 2017, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2016","Shiga toxin-producing E. coli (STEC)§, Cum 2016, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Med","Shigellosis, Previous 52 weeks Med, flag","Shigellosis, Previous 52 weeks Max","Shigellosis, Previous 52 weeks Max, flag","Shigellosis, Cum 2017","Shigellosis, Cum 2017, flag","Shigellosis, Cum 2016","Shigellosis, Cum 2016, flag",Location 1,Location 2
CONNECTICUT,2017,8,,-,8,,22,,30,,46,,,-,1,,34,,1,,4,,,-,1,,4,,4,,3,,"CONNECTICUT
(41.544654, -72.651713)",
IOWA,2017,8,1,,13,,58,,65,,79,,,-,4,,21,,10,,12,,,-,6,,31,,13,,91,,"IOWA
(42.46942, -93.815856)",
PENNSYLVANIA,2017,8,5,,25,,66,,96,,106,,1,,4,,13,,25,,24,,1,,10,,30,,29,,83,,"PENNSYLVANIA
(40.789676, -77.858055)",
ARIZONA,2017,8,9,,17,,34,,106,,88,,2,,3,,8,,14,,15,,5,,20,,49,,56,,261,,"ARIZONA
(34.869712, -111.760902)",
SOUTH CAROLINA,2017,8,1,,17,,68,,76,,104,,,-,0,,2,,3,,4,,,-,3,,10,,24,,47,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEBRASKA,2017,8,7,,5,,14,,33,,26,,1,,2,,9,,11,,15,,,-,2,,14,,5,,22,,"NEBRASKA
(41.640503, -99.367122)",
KANSAS,2017,8,1,,8,,25,,31,,36,,,-,2,,7,,5,,8,,,-,4,,15,,37,,63,,"KANSAS
(38.345528, -98.201847)",
MASSACHUSETTS,2017,8,,-,21,,55,,89,,101,,,-,2,,7,,10,,16,,,-,3,,8,,17,,22,,"MASSACHUSETTS
(42.268546, -72.085064)",
INDIANA,2017,8,,-,10,,28,,12,,63,,,-,1,,8,,2,,5,,,-,4,,14,,8,,58,,"INDIANA
(39.76845, -86.156212)",
DIST. OF COL.,2017,8,,-,0,,3,,,-,2,,,-,0,,1,,,-,2,,,-,0,,2,,,-,2,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
RHODE ISLAND,2017,8,,-,2,,6,,6,,6,,,-,0,,2,,,-,,-,,-,0,,4,,1,,4,,"RHODE ISLAND
(41.707447, -71.522488)",
HAWAII,2017,8,1,,5,,16,,25,,39,,,-,0,,3,,5,,3,,,-,0,,5,,1,,9,,"HAWAII
(21.30992, -157.858158)",
GEORGIA,2017,8,7,,42,,159,,142,,162,,,-,2,,9,,13,,6,,4,,12,,29,,59,,128,,"GEORGIA
(32.836038, -83.631709)",
OKLAHOMA,2017,8,2,,14,,52,,38,,45,,,-,2,,14,,2,,5,,1,,7,,68,,12,,109,,"OKLAHOMA
(35.468494, -97.521264)",
VIRGIN ISL.,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
LOUISIANA,2017,8,10,,10,,41,,90,,113,,,-,0,,2,,2,,1,,5,,4,,16,,34,,33,,"LOUISIANA
(31.2931, -92.463284)",
ALASKA,2017,8,,-,1,,5,,5,,10,,,-,0,,2,,1,,2,,,-,0,,1,,1,,,-,"ALASKA
(64.836661, -147.738891)",
NORTH DAKOTA,2017,8,,-,2,,10,,9,,14,,,-,1,,3,,6,,2,,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
ALABAMA,2017,8,4,,23,,48,,86,,156,,,-,0,,3,,4,,4,,2,,4,,10,,33,,55,,"ALABAMA
(32.839182, -86.631125)",
VIRGINIA,2017,8,3,,22,,44,,49,,77,,,-,2,,8,,10,,4,,,-,7,,15,,15,,41,,"VIRGINIA
(37.542699, -78.45822)",
MICHIGAN,2017,8,,-,18,,35,,67,,91,,,-,3,,12,,10,,19,,1,,11,,31,,33,,56,,"MICHIGAN
(44.66399, -84.711206)",
MINNESOTA,2017,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MISSOURI,2017,8,7,,18,,42,,69,,85,,1,,5,,19,,11,,17,,5,,10,,47,,40,,243,,"MISSOURI
(38.636168, -92.566292)",
SOUTH DAKOTA,2017,8,,-,3,,107,,5,,26,,,-,1,,9,,1,,6,,,-,0,,2,,,-,3,,"SOUTH DAKOTA
(44.35371, -100.373709)",
TEXAS,2017,8,9,,103,,298,,202,,352,,,-,17,,43,,11,,50,,13,,74,,130,,139,,605,,"TEXAS
(31.827233, -99.423022)",
PUERTO RICO,2017,8,,-,10,,25,,23,,88,,,-,0,,0,,,-,,-,,-,0,,4,,,-,5,,"PUERTO RICO
(18.215692, -66.414655)",
NORTH CAROLINA,2017,8,,-,28,,93,,40,,145,,,-,1,,4,,1,,6,,,-,8,,28,,15,,56,,"NORTH CAROLINA
(35.47995, -79.180571)",
COLORADO,2017,8,9,,12,,33,,74,,70,,1,,4,,11,,9,,19,,5,,3,,16,,35,,14,,"COLORADO
(38.841772, -106.132562)",
NEW MEXICO,2017,8,,-,6,,17,,23,,36,,,-,1,,5,,1,,1,,,-,3,,22,,11,,8,,"NEW MEXICO
(34.520396, -106.244402)",
WISCONSIN,2017,8,,-,15,,30,,4,,89,,,-,4,,13,,1,,20,,,-,10,,39,,56,,166,,"WISCONSIN
(44.395526, -89.834513)",
KENTUCKY,2017,8,,-,10,,77,,37,,117,,,-,1,,5,,3,,9,,1,,5,,14,,41,,39,,"KENTUCKY
(37.64591, -84.774043)",
FLORIDA,2017,8,55,,107,,213,,476,,594,,1,,3,,8,,18,,31,,11,,13,,32,,79,,120,,"FLORIDA
(28.915325, -81.922409)",
UNITED STATES,2017,9,237,,863,,1635,,3565,,5079,,20,,133,,261,,411,,624,,80,,368,,478,,1599,,3660,,,
NEW ENGLAND,2017,9,6,,40,,80,,171,,219,,,-,6,,38,,18,,26,,4,,5,,13,,47,,34,,,
MID. ATLANTIC,2017,9,36,,83,,198,,368,,436,,7,,13,,30,,74,,70,,10,,26,,52,,133,,243,,,
NEW YORK CITY,2017,9,15,,19,,42,,122,,97,,3,,2,,9,,18,,9,,5,,8,,17,,62,,75,,,
E.N. CENTRAL,2017,9,20,,103,,191,,286,,637,,3,,15,,87,,35,,84,,2,,59,,102,,272,,700,,,
W.N. CENTRAL,2017,9,16,,47,,202,,239,,301,,4,,17,,41,,49,,65,,6,,24,,70,,109,,472,,,
S. ATLANTIC,2017,9,85,,215,,501,,1019,,1319,,2,,12,,29,,63,,72,,18,,48,,84,,264,,456,,,
E.S. CENTRAL,2017,9,10,,69,,205,,276,,456,,,-,5,,13,,28,,44,,10,,16,,28,,164,,148,,,
W.S. CENTRAL,2017,9,44,,146,,328,,476,,605,,1,,23,,48,,23,,72,,21,,91,,162,,258,,891,,,
MOUNTAIN,2017,9,13,,53,,97,,297,,335,,2,,16,,32,,50,,74,,4,,31,,56,,112,,346,,,
PACIFIC,2017,9,7,,118,,189,,433,,771,,1,,23,,66,,71,,117,,5,,44,,77,,240,,370,,,
AMER. SAMOA,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MASSACHUSETTS,2017,9,4,,21,,54,,110,,117,,,-,2,,7,,14,,16,,2,,3,,8,,26,,25,,"MASSACHUSETTS
(42.268546, -72.085064)",
SOUTH CAROLINA,2017,9,1,,17,,68,,89,,110,,,-,0,,2,,3,,4,,1,,3,,10,,30,,50,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MARYLAND,2017,9,4,,14,,38,,92,,94,,,-,1,,5,,12,,11,,3,,3,,9,,34,,22,,"MARYLAND
(39.290443, -76.612333)",
ARIZONA,2017,9,8,,17,,34,,117,,99,,2,,3,,8,,17,,16,,4,,20,,49,,61,,289,,"ARIZONA
(34.869712, -111.760902)",
NEW HAMPSHIRE,2017,9,,-,4,,9,,10,,18,,,-,0,,4,,1,,2,,,-,0,,3,,5,,2,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
VERMONT,2017,9,,-,1,,10,,3,,13,,,-,0,,2,,1,,2,,,-,0,,2,,5,,,-,"VERMONT
(43.622479, -72.51927)",
UTAH,2017,9,,-,6,,11,,37,,56,,,-,2,,5,,3,,1,,,-,1,,5,,1,,10,,"UTAH
(39.359772, -111.584173)",
LOUISIANA,2017,9,9,,10,,41,,102,,116,,,-,0,,2,,2,,1,,7,,4,,16,,44,,41,,"LOUISIANA
(31.2931, -92.463284)",
VIRGIN ISL.,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
RHODE ISLAND,2017,9,,-,2,,6,,6,,7,,,-,0,,2,,,-,,-,1,,0,,4,,2,,4,,"RHODE ISLAND
(41.707447, -71.522488)",
PUERTO RICO,2017,9,,-,10,,25,,23,,97,,,-,0,,0,,,-,,-,,-,0,,4,,,-,5,,"PUERTO RICO
(18.215692, -66.414655)",
OHIO,2017,9,19,,26,,68,,130,,154,,3,,4,,14,,19,,14,,2,,20,,30,,145,,275,,"OHIO
(40.056807, -82.405897)",
COLORADO,2017,9,,-,12,,33,,74,,75,,,-,4,,11,,9,,22,,,-,3,,16,,35,,16,,"COLORADO
(38.841772, -106.132562)",
INDIANA,2017,9,,-,9,,28,,26,,70,,,-,1,,8,,2,,9,,,-,3,,14,,10,,62,,"INDIANA
(39.76845, -86.156212)",
ALASKA,2017,9,,-,1,,5,,5,,11,,,-,0,,2,,1,,2,,,-,0,,1,,1,,,-,"ALASKA
(64.836661, -147.738891)",
NORTH CAROLINA,2017,9,,-,28,,93,,44,,168,,,-,1,,4,,1,,6,,,-,8,,28,,15,,58,,"NORTH CAROLINA
(35.47995, -79.180571)",
FLORIDA,2017,9,64,,107,,213,,541,,654,,2,,3,,8,,20,,34,,8,,13,,32,,87,,127,,"FLORIDA
(28.915325, -81.922409)",
KANSAS,2017,9,,-,8,,25,,33,,41,,,-,2,,7,,5,,10,,,-,4,,15,,38,,70,,"KANSAS
(38.345528, -98.201847)",
NEVADA,2017,9,,-,3,,9,,5,,22,,,-,1,,4,,1,,5,,,-,0,,10,,1,,9,,"NEVADA
(39.491833, -117.070159)",
NORTH DAKOTA,2017,9,,-,1,,10,,9,,18,,,-,1,,3,,6,,3,,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
TENNESSEE,2017,9,4,,19,,105,,72,,89,,,-,3,,8,,20,,29,,4,,4,,13,,43,,33,,"TENNESSEE
(35.681402, -85.774444)",
WYOMING,2017,9,,-,1,,5,,3,,8,,,-,0,,2,,,-,1,,,-,0,,1,,,-,2,,"WYOMING
(43.23558, -108.110518)",
IOWA,2017,9,1,,13,,58,,70,,88,,,-,4,,21,,10,,12,,,-,6,,31,,14,,111,,"IOWA
(42.46942, -93.815856)",
HAWAII,2017,9,,-,5,,16,,25,,45,,,-,0,,3,,5,,4,,,-,0,,5,,1,,9,,"HAWAII
(21.30992, -157.858158)",
OREGON,2017,9,,-,8,,23,,35,,47,,1,,3,,12,,15,,19,,2,,1,,5,,13,,50,,"OREGON
(44.567912, -120.156945)",
ARKANSAS,2017,9,,-,13,,45,,41,,38,,,-,2,,7,,4,,4,,,-,2,,13,,36,,30,,"ARKANSAS
(34.748745, -92.275105)",
MISSOURI,2017,9,12,,18,,42,,84,,95,,2,,5,,19,,14,,19,,6,,10,,47,,52,,258,,"MISSOURI
(38.636168, -92.566292)",
MISSISSIPPI,2017,9,4,,19,,57,,74,,82,,,-,0,,2,,1,,2,,1,,2,,5,,24,,7,,"MISSISSIPPI
(32.738663, -89.537312)",
MONTANA,2017,9,1,,3,,10,,12,,18,,,-,2,,15,,4,,8,,,-,0,,2,,,-,1,,"MONTANA
(47.062617, -109.430168)",
WEST VIRGINIA,2017,9,,-,3,,10,,12,,14,,,-,0,,3,,,-,4,,,-,0,,2,,1,,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
IDAHO,2017,9,4,,3,,10,,26,,20,,,-,3,,12,,15,,20,,,-,0,,4,,2,,11,,"IDAHO
(43.680635, -114.364237)",
NEW MEXICO,2017,9,,-,6,,17,,23,,37,,,-,0,,5,,1,,1,,,-,3,,22,,12,,8,,"NEW MEXICO
(34.520396, -106.244402)",
ALABAMA,2017,9,2,,23,,48,,93,,165,,,-,0,,3,,4,,4,,1,,4,,10,,42,,65,,"ALABAMA
(32.839182, -86.631125)",
MINNESOTA,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
PENNSYLVANIA,2017,9,4,,26,,66,,108,,125,,1,,4,,12,,30,,28,,2,,10,,30,,33,,91,,"PENNSYLVANIA
(40.789676, -77.858055)",
KENTUCKY,2017,9,,-,10,,35,,37,,120,,,-,1,,5,,3,,9,,4,,5,,14,,55,,43,,"KENTUCKY
(37.64591, -84.774043)",
MAINE,2017,9,1,,2,,7,,6,,11,,,-,0,,3,,1,,2,,1,,0,,1,,2,,,-,"MAINE
(45.252223, -68.986647)",
CONNECTICUT,2017,9,1,,8,,22,,36,,53,,,-,1,,34,,1,,4,,,-,1,,4,,7,,3,,"CONNECTICUT
(41.544654, -72.651713)",
CALIFORNIA,2017,9,7,,89,,152,,323,,612,,,-,15,,38,,48,,92,,3,,38,,69,,217,,283,,"CALIFORNIA
(37.640735, -121.002435)",
NEBRASKA,2017,9,3,,5,,14,,38,,30,,2,,2,,9,,13,,15,,,-,2,,14,,5,,29,,"NEBRASKA
(41.640503, -99.367122)",
GEORGIA,2017,9,10,,42,,159,,181,,181,,,-,2,,9,,15,,7,,4,,12,,29,,69,,140,,"GEORGIA
(32.836038, -83.631709)",
DELAWARE,2017,9,,-,2,,17,,4,,8,,,-,0,,2,,,-,,-,,-,1,,6,,10,,4,,"DELAWARE
(39.008676, -75.574561)",
WASHINGTON,2017,9,,-,13,,47,,45,,56,,,-,2,,37,,2,,,-,,-,3,,14,,8,,28,,"WASHINGTON
(47.517368, -120.467672)",
OKLAHOMA,2017,9,11,,14,,52,,54,,56,,1,,2,,14,,5,,5,,2,,6,,68,,15,,123,,"OKLAHOMA
(35.468494, -97.521264)",
C.N.M.I.,2017,9,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
ILLINOIS,2017,9,,-,33,,64,,46,,201,,,-,3,,62,,3,,21,,,-,10,,22,,20,,111,,"ILLINOIS
(40.477092, -88.993221)",
WISCONSIN,2017,9,,-,15,,30,,4,,104,,,-,4,,13,,1,,21,,,-,10,,39,,56,,180,,"WISCONSIN
(44.395526, -89.834513)",
TEXAS,2017,9,24,,103,,302,,279,,395,,,-,17,,45,,12,,62,,12,,73,,132,,163,,697,,"TEXAS
(31.827233, -99.423022)",
NEW YORK,2017,9,17,,26,,65,,113,,109,,3,,4,,16,,18,,13,,3,,4,,12,,21,,30,,"NEW YORK
(42.826892, -75.544286)",
SOUTH DAKOTA,2017,9,,-,3,,107,,5,,29,,,-,1,,9,,1,,6,,,-,0,,2,,,-,3,,"SOUTH DAKOTA
(44.35371, -100.373709)",
DIST. OF COL.,2017,9,,-,0,,4,,,-,2,,,-,0,,1,,,-,2,,,-,0,,2,,,-,2,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MICHIGAN,2017,9,1,,18,,35,,80,,108,,,-,3,,12,,10,,19,,,-,11,,31,,41,,72,,"MICHIGAN
(44.66399, -84.711206)",
NEW JERSEY,2017,9,,-,15,,55,,25,,105,,,-,2,,7,,8,,20,,,-,4,,10,,17,,47,,"NEW JERSEY
(40.104655, -74.386686)",
GUAM,2017,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
VIRGINIA,2017,9,6,,23,,45,,56,,88,,,-,2,,8,,12,,4,,2,,6,,15,,18,,52,,"VIRGINIA
(37.542699, -78.45822)",
UNITED STATES,2017,10,183,,864,,1637,,4031,,5618,,18,,138,,261,,507,,700,,77,,365,,477,,1844,,4084,,,
NEW ENGLAND,2017,10,2,,40,,80,,179,,240,,,-,6,,38,,19,,31,,1,,5,,13,,49,,41,,,
MID. ATLANTIC,2017,10,,-,84,,198,,393,,483,,,-,13,,31,,74,,76,,,-,26,,52,,152,,273,,,
NEW YORK CITY,2017,10,,-,19,,42,,122,,111,,,-,2,,9,,18,,10,,,-,8,,17,,62,,83,,,
E.N. CENTRAL,2017,10,17,,103,,191,,321,,748,,2,,15,,87,,38,,97,,12,,56,,102,,318,,764,,,
W.N. CENTRAL,2017,10,1,,47,,202,,255,,334,,1,,17,,41,,53,,69,,,-,23,,70,,112,,530,,,
S. ATLANTIC,2017,10,67,,215,,501,,1135,,1443,,2,,12,,29,,67,,80,,15,,48,,84,,298,,504,,,
E.S. CENTRAL,2017,10,13,,69,,205,,319,,482,,,-,5,,13,,30,,48,,3,,16,,28,,177,,167,,,
W.S. CENTRAL,2017,10,54,,148,,332,,560,,660,,2,,23,,71,,74,,88,,30,,86,,162,,303,,1039,,,
MOUNTAIN,2017,10,14,,53,,97,,324,,364,,1,,16,,32,,53,,79,,3,,31,,56,,129,,368,,,
PACIFIC,2017,10,15,,118,,188,,545,,864,,10,,23,,66,,99,,132,,13,,45,,77,,306,,398,,,
AMER. SAMOA,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
CALIFORNIA,2017,10,11,,89,,152,,426,,685,,,-,16,,38,,65,,105,,2,,39,,69,,272,,306,,"CALIFORNIA
(37.640735, -121.002435)",
DELAWARE,2017,10,,-,2,,17,,9,,10,,,-,0,,2,,,-,1,,,-,1,,6,,10,,5,,"DELAWARE
(39.008676, -75.574561)",
OHIO,2017,10,17,,26,,68,,148,,195,,2,,4,,14,,21,,18,,7,,19,,30,,152,,300,,"OHIO
(40.056807, -82.405897)",
TEXAS,2017,10,38,,103,,306,,336,,434,,,-,17,,68,,61,,78,,22,,71,,133,,197,,813,,"TEXAS
(31.827233, -99.423022)",
WYOMING,2017,10,,-,1,,5,,3,,9,,,-,0,,2,,,-,1,,,-,0,,1,,,-,2,,"WYOMING
(43.23558, -108.110518)",
TENNESSEE,2017,10,1,,19,,105,,79,,104,,,-,3,,8,,20,,32,,1,,4,,13,,50,,38,,"TENNESSEE
(35.681402, -85.774444)",
VIRGINIA,2017,10,6,,23,,45,,66,,102,,,-,2,,8,,13,,5,,2,,6,,15,,21,,62,,"VIRGINIA
(37.542699, -78.45822)",
ARKANSAS,2017,10,2,,13,,45,,49,,45,,,-,2,,7,,4,,4,,5,,2,,13,,44,,31,,"ARKANSAS
(34.748745, -92.275105)",
INDIANA,2017,10,,-,9,,28,,26,,76,,,-,1,,8,,3,,10,,,-,3,,14,,12,,67,,"INDIANA
(39.76845, -86.156212)",
KANSAS,2017,10,,-,8,,25,,37,,48,,,-,2,,7,,5,,10,,,-,4,,15,,39,,80,,"KANSAS
(38.345528, -98.201847)",
MONTANA,2017,10,1,,3,,20,,13,,19,,1,,2,,15,,5,,9,,,-,0,,2,,,-,2,,"MONTANA
(47.062617, -109.430168)",
HAWAII,2017,10,,-,5,,16,,29,,48,,,-,0,,3,,6,,4,,,-,0,,5,,1,,10,,"HAWAII
(21.30992, -157.858158)",
GEORGIA,2017,10,4,,42,,159,,194,,198,,,-,2,,9,,15,,7,,,-,12,,29,,72,,157,,"GEORGIA
(32.836038, -83.631709)",
LOUISIANA,2017,10,6,,10,,41,,108,,119,,,-,0,,2,,2,,1,,1,,4,,16,,45,,49,,"LOUISIANA
(31.2931, -92.463284)",
SOUTH CAROLINA,2017,10,7,,17,,68,,107,,114,,,-,0,,2,,3,,5,,2,,3,,10,,36,,58,,"SOUTH CAROLINA
(34.009286, -81.037094)",
IOWA,2017,10,,-,13,,58,,70,,97,,,-,4,,21,,10,,13,,,-,5,,31,,14,,142,,"IOWA
(42.46942, -93.815856)",
IDAHO,2017,10,3,,3,,10,,29,,22,,,-,3,,12,,17,,20,,,-,0,,4,,2,,13,,"IDAHO
(43.680635, -114.364237)",
MARYLAND,2017,10,8,,14,,38,,103,,107,,2,,1,,5,,14,,14,,2,,3,,9,,36,,24,,"MARYLAND
(39.290443, -76.612333)",
NEW YORK,2017,10,,-,26,,65,,113,,120,,,-,4,,16,,18,,15,,,-,4,,12,,21,,33,,"NEW YORK
(42.826892, -75.544286)",
ARIZONA,2017,10,8,,17,,34,,126,,106,,,-,3,,8,,17,,16,,2,,20,,49,,64,,299,,"ARIZONA
(34.869712, -111.760902)",
MASSACHUSETTS,2017,10,,-,21,,54,,110,,132,,,-,2,,7,,14,,17,,,-,3,,8,,26,,30,,"MASSACHUSETTS
(42.268546, -72.085064)",
SOUTH DAKOTA,2017,10,,-,3,,107,,11,,32,,,-,1,,9,,2,,6,,,-,0,,2,,1,,3,,"SOUTH DAKOTA
(44.35371, -100.373709)",
DIST. OF COL.,2017,10,,-,0,,4,,,-,2,,,-,0,,1,,,-,2,,,-,0,,2,,,-,2,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
OREGON,2017,10,,-,8,,23,,35,,55,,1,,3,,12,,16,,21,,,-,1,,5,,13,,51,,"OREGON
(44.567912, -120.156945)",
WEST VIRGINIA,2017,10,,-,3,,10,,12,,17,,,-,0,,3,,,-,4,,,-,0,,2,,1,,2,,"WEST VIRGINIA
(38.668501, -80.709421)",
MINNESOTA,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
PENNSYLVANIA,2017,10,,-,26,,66,,108,,136,,,-,4,,12,,30,,30,,,-,10,,30,,33,,107,,"PENNSYLVANIA
(40.789676, -77.858055)",
COLORADO,2017,10,,-,12,,33,,74,,79,,,-,4,,11,,9,,24,,,-,3,,16,,35,,18,,"COLORADO
(38.841772, -106.132562)",
OKLAHOMA,2017,10,8,,16,,52,,67,,62,,2,,2,,14,,7,,5,,2,,6,,68,,17,,146,,"OKLAHOMA
(35.468494, -97.521264)",
MAINE,2017,10,,-,2,,7,,6,,11,,,-,0,,3,,1,,2,,,-,0,,1,,2,,,-,"MAINE
(45.252223, -68.986647)",
VERMONT,2017,10,1,,1,,10,,4,,13,,,-,0,,2,,1,,2,,,-,0,,2,,6,,,-,"VERMONT
(43.622479, -72.51927)",
NEW MEXICO,2017,10,1,,6,,17,,29,,38,,,-,0,,5,,1,,1,,1,,3,,22,,22,,9,,"NEW MEXICO
(34.520396, -106.244402)",
MISSOURI,2017,10,,-,18,,42,,84,,100,,,-,5,,19,,14,,22,,,-,10,,47,,52,,270,,"MISSOURI
(38.636168, -92.566292)",
KENTUCKY,2017,10,,-,10,,35,,37,,122,,,-,1,,5,,3,,9,,1,,5,,14,,60,,46,,"KENTUCKY
(37.64591, -84.774043)",
RHODE ISLAND,2017,10,1,,2,,6,,7,,7,,,-,0,,2,,,-,,-,1,,0,,4,,3,,5,,"RHODE ISLAND
(41.707447, -71.522488)",
NORTH CAROLINA,2017,10,,-,28,,93,,61,,185,,,-,1,,4,,1,,6,,,-,8,,28,,25,,58,,"NORTH CAROLINA
(35.47995, -79.180571)",
NEVADA,2017,10,,-,3,,9,,7,,25,,,-,1,,4,,1,,6,,,-,0,,10,,1,,10,,"NEVADA
(39.491833, -117.070159)",
VIRGIN ISL.,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MICHIGAN,2017,10,,-,18,,35,,80,,130,,,-,3,,12,,10,,22,,,-,11,,31,,41,,80,,"MICHIGAN
(44.66399, -84.711206)",
NEW JERSEY,2017,10,,-,15,,55,,50,,116,,,-,2,,7,,8,,21,,,-,5,,10,,36,,50,,"NEW JERSEY
(40.104655, -74.386686)",
MISSISSIPPI,2017,10,8,,19,,57,,85,,87,,,-,0,,2,,3,,2,,1,,2,,5,,25,,10,,"MISSISSIPPI
(32.738663, -89.537312)",
GUAM,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
C.N.M.I.,2017,10,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
WASHINGTON,2017,10,4,,13,,55,,48,,64,,9,,2,,37,,11,,,-,10,,2,,21,,18,,31,,"WASHINGTON
(47.517368, -120.467672)",
FLORIDA,2017,10,42,,107,,213,,583,,708,,,-,3,,8,,21,,36,,9,,13,,32,,97,,136,,"FLORIDA
(28.915325, -81.922409)",
UTAH,2017,10,1,,6,,11,,43,,66,,,-,2,,5,,3,,2,,,-,1,,5,,5,,15,,"UTAH
(39.359772, -111.584173)",
CONNECTICUT,2017,10,,-,8,,22,,40,,56,,,-,1,,34,,1,,8,,,-,1,,4,,7,,4,,"CONNECTICUT
(41.544654, -72.651713)",
PUERTO RICO,2017,10,,-,11,,25,,41,,106,,,-,0,,0,,,-,,-,,-,0,,4,,2,,5,,"PUERTO RICO
(18.215692, -66.414655)",
ALABAMA,2017,10,4,,23,,48,,118,,169,,,-,0,,3,,4,,5,,,-,3,,10,,42,,73,,"ALABAMA
(32.839182, -86.631125)",
ALASKA,2017,10,,-,1,,5,,7,,12,,,-,0,,2,,1,,2,,1,,0,,1,,2,,,-,"ALASKA
(64.836661, -147.738891)",
NEW HAMPSHIRE,2017,10,,-,4,,10,,12,,21,,,-,0,,4,,2,,2,,,-,0,,3,,5,,2,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WISCONSIN,2017,10,,-,15,,30,,6,,125,,,-,4,,13,,1,,24,,5,,10,,39,,80,,193,,"WISCONSIN
(44.395526, -89.834513)",
NEBRASKA,2017,10,1,,5,,14,,43,,34,,1,,2,,9,,16,,15,,,-,2,,14,,6,,34,,"NEBRASKA
(41.640503, -99.367122)",
ILLINOIS,2017,10,,-,33,,64,,61,,222,,,-,3,,62,,3,,23,,,-,10,,22,,33,,124,,"ILLINOIS
(40.477092, -88.993221)",
NORTH DAKOTA,2017,10,,-,1,,10,,10,,23,,,-,1,,3,,6,,3,,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
UNITED STATES,2017,11,224,,906,,1707,,4579,,6324,,13,,139,,272,,589,,834,,52,,374,,497,,2010,,4601,,,
NEW ENGLAND,2017,11,3,,40,,79,,214,,261,,,-,6,,38,,22,,43,,2,,5,,13,,58,,50,,,
MID. ATLANTIC,2017,11,26,,104,,255,,572,,652,,3,,18,,42,,113,,115,,9,,30,,70,,205,,389,,,
NEW YORK CITY,2017,11,13,,19,,42,,155,,121,,1,,3,,9,,23,,17,,8,,8,,17,,76,,91,,,
