Reporting Area,MMWRYear,MMWRWeek,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2017","Cryptosporidiosis, Cum 2017, flag","Cryptosporidiosis, Cum 2016","Cryptosporidiosis, Cum 2016, flag","Dengue Virus Infection, Dengue§, Current week","Dengue Virus Infection, Dengue§, Current week, flag","Dengue Virus Infection, Dengue§, Previous 52 weeks Med","Dengue Virus Infection, Dengue§, Previous 52 weeks Med, flag","Dengue Virus Infection, Dengue§, Previous 52 weeks Max","Dengue Virus Infection, Dengue§, Previous 52 weeks Max, flag","Dengue Virus Infection, Dengue§, Cum 2017","Dengue Virus Infection, Dengue§, Cum 2017, flag","Dengue Virus Infection, Dengue§, Cum 2016","Dengue Virus Infection, Dengue§, Cum 2016, flag","Dengue Virus Infection, Severe Dengue, Current week","Dengue Virus Infection, Severe Dengue, Current week, flag","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Med","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Med, flag","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Max","Dengue Virus Infection, Severe Dengue, Previous 52 weeks Max, flag","Dengue Virus Infection, Severe Dengue, Cum 2017","Dengue Virus Infection, Severe Dengue, Cum 2017, flag","Dengue Virus Infection, Severe Dengue, Cum 2016","Dengue Virus Infection, Severe Dengue, Cum 2016, flag",Location 1,Location 2
MINNESOTA,2017,8,,-,0,,0,,,-,,-,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MASSACHUSETTS,2017,8,,-,3,,14,,13,,17,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
KENTUCKY,2017,8,1,,2,,7,,6,,16,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
KANSAS,2017,8,,-,2,,7,,4,,6,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
WEST VIRGINIA,2017,8,,-,0,,5,,2,,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
WYOMING,2017,8,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEVADA,2017,8,,-,0,,2,,1,,4,,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
MAINE,2017,8,,-,1,,4,,4,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
DELAWARE,2017,8,,-,0,,2,,,-,4,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MISSOURI,2017,8,2,,6,,22,,19,,27,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
PENNSYLVANIA,2017,8,2,,7,,27,,27,,45,,,-,0,,2,,,-,7,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
PUERTO RICO,2017,8,,-,0,,1,,,-,,-,,-,2,,13,,2,,77,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
OKLAHOMA,2017,8,1,,3,,9,,7,,15,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
WASHINGTON,2017,8,,-,0,,34,,4,,,-,,-,0,,2,,,-,6,,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
IDAHO,2017,8,,-,2,,10,,9,,17,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
NEW MEXICO,2017,8,,-,1,,7,,7,,7,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
MARYLAND,2017,8,1,,2,,10,,7,,12,,,-,0,,1,,,-,6,,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
NEW JERSEY,2017,8,,-,1,,18,,,-,13,,,-,0,,6,,,-,13,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
OREGON,2017,8,1,,6,,26,,16,,38,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
MONTANA,2017,8,,-,1,,5,,2,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
GEORGIA,2017,8,4,,5,,26,,33,,48,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
IOWA,2017,8,1,,9,,65,,21,,33,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
C.N.M.I.,2017,8,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NORTH CAROLINA,2017,8,,-,3,,17,,9,,21,,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
UTAH,2017,8,1,,2,,24,,10,,23,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
LOUISIANA,2017,8,,-,1,,4,,12,,15,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
HAWAII,2017,8,,-,0,,3,,,-,,-,,-,0,,2,,1,,47,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
ALABAMA,2017,8,1,,5,,27,,14,,18,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
VIRGINIA,2017,8,,-,4,,12,,9,,20,,,-,0,,3,,,-,8,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NORTH DAKOTA,2017,8,,-,0,,5,,,-,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
VERMONT,2017,8,,-,1,,10,,3,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NEBRASKA,2017,8,1,,3,,16,,16,,21,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
WISCONSIN,2017,8,2,,11,,62,,47,,67,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
ARKANSAS,2017,8,,-,1,,4,,6,,10,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MICHIGAN,2017,8,,-,7,,19,,25,,39,,,-,0,,2,,1,,2,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
TENNESSEE,2017,8,2,,3,,9,,14,,19,,,-,0,,1,,2,,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
NEW YORK,2017,8,,-,5,,25,,13,,27,,,-,1,,3,,,-,3,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
UNITED STATES,2017,9,46,,158,,734,,731,,1137,,,-,11,,37,,14,,241,,,-,0,,1,,,-,,-,,
NEW ENGLAND,2017,9,2,,8,,23,,36,,35,,,-,0,,2,,,-,9,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,9,9,,14,,64,,76,,113,,,-,3,,10,,1,,52,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,9,2,,4,,12,,27,,19,,,-,1,,7,,,-,28,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,9,12,,37,,294,,152,,253,,,-,1,,8,,5,,19,,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,9,5,,26,,107,,76,,126,,,-,0,,8,,,-,6,,,-,0,,0,,,-,,-,,
S. ATLANTIC,2017,9,9,,25,,79,,126,,228,,,-,1,,7,,,-,37,,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2017,9,2,,10,,43,,49,,66,,,-,0,,2,,4,,,-,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,9,3,,17,,39,,72,,108,,,-,1,,4,,,-,4,,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,9,3,,15,,122,,78,,85,,,-,1,,4,,,-,5,,,-,0,,1,,,-,,-,,
PACIFIC,2017,9,1,,14,,53,,66,,123,,,-,3,,14,,4,,107,,,-,0,,1,,,-,,-,,
AMER. SAMOA,2017,9,,N,0,,0,,,N,,N,,-,0,,2,,6,,,-,,-,0,,0,,,-,,-,,
NEW HAMPSHIRE,2017,9,,-,1,,7,,1,,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ILLINOIS,2017,9,,-,4,,50,,16,,32,,,-,0,,4,,1,,10,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
FLORIDA,2017,9,4,,11,,31,,48,,92,,,-,0,,2,,,-,17,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
MARYLAND,2017,9,2,,2,,10,,9,,12,,,-,0,,1,,,-,6,,,-,0,,0,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
DIST. OF COL.,2017,9,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ARIZONA,2017,9,,-,3,,82,,18,,8,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
DELAWARE,2017,9,,-,0,,2,,,-,4,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
IOWA,2017,9,3,,9,,65,,24,,37,,,-,0,,5,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
VIRGIN ISL.,2017,9,,-,0,,0,,,-,,-,,-,0,,2,,1,,12,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
OHIO,2017,9,12,,8,,207,,46,,68,,,-,0,,2,,2,,2,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
RHODE ISLAND,2017,9,,-,0,,2,,2,,2,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
KANSAS,2017,9,,-,2,,7,,4,,7,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
CONNECTICUT,2017,9,,-,1,,5,,6,,6,,,-,0,,1,,,-,4,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
LOUISIANA,2017,9,,-,1,,4,,12,,17,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
UTAH,2017,9,1,,2,,24,,12,,25,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
TENNESSEE,2017,9,,-,3,,9,,15,,23,,,-,0,,1,,2,,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
NEW JERSEY,2017,9,,-,1,,18,,,-,14,,,-,0,,6,,,-,14,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
CALIFORNIA,2017,9,,-,8,,17,,43,,65,,,-,2,,14,,3,,49,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
MASSACHUSETTS,2017,9,2,,3,,14,,19,,20,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
MINNESOTA,2017,9,,-,0,,0,,,-,,-,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
VIRGINIA,2017,9,,-,4,,12,,12,,23,,,-,0,,3,,,-,8,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
TEXAS,2017,9,2,,12,,33,,44,,63,,,-,1,,4,,,-,2,,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
ARKANSAS,2017,9,,-,1,,4,,8,,11,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
NEBRASKA,2017,9,2,,3,,16,,18,,24,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NEW MEXICO,2017,9,,-,1,,7,,7,,7,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
NEW YORK,2017,9,5,,5,,25,,18,,30,,,-,1,,3,,,-,3,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
IDAHO,2017,9,2,,2,,10,,12,,19,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
OKLAHOMA,2017,9,1,,3,,9,,8,,17,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
C.N.M.I.,2017,9,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
GUAM,2017,9,,-,0,,0,,,-,,-,,-,1,,1,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NORTH CAROLINA,2017,9,,-,3,,17,,9,,26,,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
WYOMING,2017,9,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
PUERTO RICO,2017,9,,-,0,,1,,,-,,-,,-,2,,12,,2,,84,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
VERMONT,2017,9,,-,1,,10,,4,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
SOUTH DAKOTA,2017,9,,-,3,,7,,6,,25,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
COLORADO,2017,9,,-,4,,14,,25,,15,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
OREGON,2017,9,1,,5,,26,,16,,48,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
ALASKA,2017,9,,-,0,,1,,3,,4,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
GEORGIA,2017,9,3,,5,,26,,36,,52,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
WISCONSIN,2017,9,,-,11,,62,,47,,73,,,-,0,,2,,1,,3,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
SOUTH CAROLINA,2017,9,,-,1,,8,,10,,15,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
PENNSYLVANIA,2017,9,2,,6,,27,,31,,50,,,-,0,,2,,1,,7,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
INDIANA,2017,9,,-,3,,9,,15,,35,,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
MISSOURI,2017,9,,-,6,,22,,22,,31,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
WEST VIRGINIA,2017,9,,-,0,,5,,2,,4,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
WASHINGTON,2017,9,,-,0,,34,,4,,6,,,-,0,,2,,,-,6,,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MICHIGAN,2017,9,,-,7,,19,,28,,45,,,-,0,,2,,1,,3,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NEVADA,2017,9,,-,0,,2,,2,,4,,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
ALABAMA,2017,9,,-,5,,27,,20,,21,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
NORTH DAKOTA,2017,9,,-,0,,5,,2,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MISSISSIPPI,2017,9,1,,1,,3,,5,,5,,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MAINE,2017,9,,-,1,,4,,4,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
KENTUCKY,2017,9,1,,2,,7,,9,,17,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
HAWAII,2017,9,,-,0,,3,,,-,,-,,-,0,,2,,1,,49,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MONTANA,2017,9,,-,0,,5,,2,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
UNITED STATES,2017,10,41,,158,,734,,810,,1249,,,-,11,,37,,17,,259,,,-,0,,1,,,-,,-,,
NEW ENGLAND,2017,10,1,,8,,23,,38,,44,,,-,0,,2,,,-,10,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,10,,-,14,,64,,76,,127,,,-,3,,10,,1,,56,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,10,,-,4,,12,,27,,20,,,-,1,,7,,,-,29,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,10,6,,37,,294,,169,,270,,,-,1,,8,,6,,21,,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,10,1,,26,,107,,81,,144,,,-,0,,8,,,-,7,,,-,0,,0,,,-,,-,,
S. ATLANTIC,2017,10,12,,24,,79,,148,,247,,,-,1,,7,,,-,41,,,-,0,,1,,,-,,-,,
CONNECTICUT,2017,10,,-,1,,6,,7,,6,,,-,0,,1,,,-,4,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
MISSOURI,2017,10,,-,6,,22,,22,,40,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
E.S. CENTRAL,2017,10,1,,10,,43,,54,,77,,,-,0,,2,,4,,,-,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,10,16,,17,,39,,91,,117,,,-,1,,4,,,-,5,,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,10,4,,15,,122,,86,,91,,,-,1,,4,,,-,6,,,-,0,,1,,,-,,-,,
PACIFIC,2017,10,,-,13,,53,,67,,132,,,-,3,,14,,6,,111,,,-,0,,1,,,-,,-,,
IDAHO,2017,10,1,,2,,10,,14,,21,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
GEORGIA,2017,10,3,,5,,26,,40,,55,,,-,0,,2,,,-,5,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
KENTUCKY,2017,10,,-,2,,7,,11,,19,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MONTANA,2017,10,,-,0,,5,,2,,5,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NORTH CAROLINA,2017,10,,-,3,,17,,15,,28,,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
UTAH,2017,10,,-,2,,24,,13,,26,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
AMER. SAMOA,2017,10,,N,0,,0,,,N,,N,,-,0,,2,,6,,,-,,-,0,,0,,,-,,-,,
PUERTO RICO,2017,10,,-,0,,1,,,-,,-,,-,2,,15,,3,,90,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
SOUTH CAROLINA,2017,10,,-,1,,8,,11,,17,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
FLORIDA,2017,10,6,,10,,31,,54,,100,,,-,0,,2,,,-,19,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
ALABAMA,2017,10,,-,5,,27,,20,,27,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
VIRGIN ISL.,2017,10,,-,0,,0,,,-,,-,,-,0,,2,,1,,12,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NORTH DAKOTA,2017,10,,-,0,,5,,2,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MISSISSIPPI,2017,10,1,,1,,3,,7,,6,,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEVADA,2017,10,,-,0,,2,,2,,4,,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
WYOMING,2017,10,,-,0,,3,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MAINE,2017,10,,-,1,,4,,4,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
WASHINGTON,2017,10,,-,0,,34,,4,,6,,,-,0,,2,,2,,6,,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MASSACHUSETTS,2017,10,,-,3,,14,,19,,25,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
MICHIGAN,2017,10,,-,7,,19,,28,,47,,,-,0,,2,,1,,4,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
VERMONT,2017,10,1,,1,,10,,5,,2,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
C.N.M.I.,2017,10,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MINNESOTA,2017,10,,-,0,,0,,,-,,-,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
COLORADO,2017,10,,-,4,,14,,25,,18,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
CALIFORNIA,2017,10,,-,8,,17,,44,,68,,,-,2,,14,,3,,53,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
VIRGINIA,2017,10,,-,4,,12,,13,,26,,,-,0,,3,,,-,8,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
TEXAS,2017,10,12,,12,,33,,57,,71,,,-,1,,4,,,-,3,,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
GUAM,2017,10,,-,0,,0,,,-,,-,,-,1,,1,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
LOUISIANA,2017,10,,-,1,,4,,12,,18,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
KANSAS,2017,10,,-,2,,7,,7,,7,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
ARKANSAS,2017,10,1,,1,,4,,11,,11,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
SOUTH DAKOTA,2017,10,,-,3,,7,,6,,29,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
OREGON,2017,10,,-,5,,26,,16,,54,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
NEW YORK,2017,10,,-,5,,25,,18,,32,,,-,1,,3,,,-,4,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
IOWA,2017,10,,-,9,,65,,24,,39,,,-,0,,5,,,-,1,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
OKLAHOMA,2017,10,3,,3,,9,,11,,17,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
WEST VIRGINIA,2017,10,,-,0,,5,,2,,4,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NEBRASKA,2017,10,1,,3,,16,,20,,27,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NEW HAMPSHIRE,2017,10,,-,1,,7,,1,,6,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
TENNESSEE,2017,10,,-,3,,9,,16,,25,,,-,0,,1,,2,,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
OHIO,2017,10,5,,10,,207,,51,,73,,,-,0,,2,,3,,2,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
HAWAII,2017,10,,-,0,,3,,,-,,-,,-,0,,2,,1,,49,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
ILLINOIS,2017,10,,-,4,,50,,21,,36,,,-,0,,4,,1,,11,,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
RHODE ISLAND,2017,10,,-,0,,2,,2,,2,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
DIST. OF COL.,2017,10,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
WISCONSIN,2017,10,1,,11,,62,,52,,78,,,-,0,,1,,1,,3,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
NEW MEXICO,2017,10,,-,1,,7,,7,,7,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
ARIZONA,2017,10,3,,3,,82,,23,,8,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
NEW JERSEY,2017,10,,-,1,,18,,,-,18,,,-,0,,6,,,-,16,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
DELAWARE,2017,10,,-,0,,2,,,-,5,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
ALASKA,2017,10,,-,0,,1,,3,,4,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
