Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal Disease§, All ages, Confirmed, Current week","Invasive Pneumococcal Disease§, All ages, Confirmed, Current week, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Med","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Max","Invasive Pneumococcal Disease§, All ages, Confirmed, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2017","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2017, flag","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2016","Invasive Pneumococcal Disease§, All ages, Confirmed, Cum 2016, flag","Invasive Pneumococcal Disease§, All ages, Probable, Current week","Invasive Pneumococcal Disease§, All ages, Probable, Current week, flag","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Med","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Med, flag","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Max","Invasive Pneumococcal Disease§, All ages, Probable, Previous 52 weeks Max, flag","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2017","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2017, flag","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2016","Invasive Pneumococcal Disease§, All ages, Probable, Cum 2016, flag",Location 1,Location 2
PUERTO RICO,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
UTAH,2017,10,1,,4,,9,,37,,72,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
WYOMING,2017,10,,-,0,,3,,4,,11,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
VIRGINIA,2017,10,,-,0,,2,,2,,5,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
GEORGIA,2017,10,7,,17,,38,,163,,267,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
OKLAHOMA,2017,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
CALIFORNIA,2017,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
WEST VIRGINIA,2017,10,2,,4,,17,,51,,60,,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
DIST. OF COL.,2017,10,,-,1,,4,,2,,14,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MARYLAND,2017,10,9,,9,,22,,128,,113,,,-,0,,0,,,-,1,,"MARYLAND
(39.290443, -76.612333)",
VERMONT,2017,10,,-,1,,5,,7,,27,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NORTH CAROLINA,2017,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW MEXICO,2017,10,,-,5,,14,,82,,88,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
MISSISSIPPI,2017,10,,-,4,,11,,37,,83,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
TEXAS,2017,10,43,,28,,146,,308,,423,,2,,0,,1,,4,,,-,"TEXAS
(31.827233, -99.423022)",
WASHINGTON,2017,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
MAINE,2017,10,1,,2,,9,,28,,30,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
DELAWARE,2017,10,,-,1,,6,,19,,17,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
CONNECTICUT,2017,10,,-,4,,13,,47,,54,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
IDAHO,2017,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
MISSOURI,2017,10,,-,5,,21,,134,,41,,,-,0,,3,,6,,,-,"MISSOURI
(38.636168, -92.566292)",
FLORIDA,2017,10,16,,10,,59,,165,,183,,,-,0,,1,,1,,,-,"FLORIDA
(28.915325, -81.922409)",
MINNESOTA,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
TENNESSEE,2017,10,19,,18,,38,,250,,197,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
KANSAS,2017,10,,-,4,,13,,59,,55,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
VIRGIN ISL.,2017,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
SOUTH DAKOTA,2017,10,3,,2,,9,,30,,26,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
IOWA,2017,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
PENNSYLVANIA,2017,10,,-,9,,23,,99,,151,,,-,0,,2,,5,,3,,"PENNSYLVANIA
(40.789676, -77.858055)",
INDIANA,2017,10,,-,9,,31,,94,,175,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NEVADA,2017,10,1,,3,,12,,40,,74,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
LOUISIANA,2017,10,2,,5,,15,,67,,94,,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
NEW YORK,2017,10,16,,18,,55,,196,,187,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
C.N.M.I.,2017,10,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
ALASKA,2017,10,4,,2,,8,,19,,25,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NEW HAMPSHIRE,2017,10,,-,2,,6,,33,,27,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ALABAMA,2017,10,1,,7,,25,,87,,94,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
SOUTH CAROLINA,2017,10,11,,9,,41,,228,,99,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
ILLINOIS,2017,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
NEW JERSEY,2017,10,2,,0,,8,,38,,2,,1,,0,,2,,3,,,-,"NEW JERSEY
(40.104655, -74.386686)",
ARKANSAS,2017,10,4,,4,,27,,71,,63,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MICHIGAN,2017,10,6,,12,,28,,126,,219,,,-,0,,1,,2,,2,,"MICHIGAN
(44.66399, -84.711206)",
NEBRASKA,2017,10,9,,3,,8,,53,,50,,1,,0,,1,,1,,1,,"NEBRASKA
(41.640503, -99.367122)",
OREGON,2017,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
HAWAII,2017,10,,-,1,,6,,21,,22,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
UNITED STATES,2017,11,168,,310,,614,,4414,,4841,,1,,0,,8,,35,,12,,,
IDAHO,2017,13,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
NEW ENGLAND,2017,11,13,,23,,50,,328,,305,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,11,34,,50,,95,,685,,664,,,-,0,,6,,14,,6,,,
NEW YORK CITY,2017,11,10,,13,,29,,199,,182,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,11,3,,50,,103,,674,,868,,,-,0,,1,,2,,3,,,
W.N. CENTRAL,2017,11,15,,17,,45,,348,,214,,1,,0,,3,,12,,1,,,
S. ATLANTIC,2017,11,31,,53,,120,,803,,851,,,-,0,,1,,1,,1,,,
MICHIGAN,2017,11,2,,13,,28,,150,,244,,,-,0,,1,,2,,3,,"MICHIGAN
(44.66399, -84.711206)",
NEW YORK,2017,11,17,,17,,54,,213,,212,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
MARYLAND,2017,11,2,,9,,20,,130,,118,,,-,0,,0,,,-,1,,"MARYLAND
(39.290443, -76.612333)",
ILLINOIS,2017,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
PENNSYLVANIA,2017,11,7,,16,,39,,227,,268,,,-,0,,4,,11,,6,,"PENNSYLVANIA
(40.789676, -77.858055)",
OHIO,2017,11,,-,17,,53,,296,,315,,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
INDIANA,2017,11,1,,9,,31,,97,,189,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
SOUTH CAROLINA,2017,11,17,,11,,42,,249,,109,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
E.S. CENTRAL,2017,11,7,,35,,69,,485,,485,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,11,54,,37,,187,,521,,665,,,-,0,,2,,4,,,-,,
MOUNTAIN,2017,11,7,,35,,74,,523,,736,,,-,0,,1,,2,,1,,,
PACIFIC,2017,11,4,,4,,10,,47,,53,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
WYOMING,2017,11,,-,0,,3,,4,,12,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ALASKA,2017,11,2,,2,,8,,21,,26,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
WISCONSIN,2017,11,,-,7,,22,,131,,120,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
WEST VIRGINIA,2017,11,2,,4,,17,,60,,77,,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
LOUISIANA,2017,11,12,,5,,15,,89,,120,,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
HAWAII,2017,11,2,,1,,7,,26,,27,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
VIRGIN ISL.,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
KENTUCKY,2017,11,1,,4,,16,,80,,74,,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
GUAM,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MISSISSIPPI,2017,11,,-,4,,11,,45,,87,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
IDAHO,2017,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
ARIZONA,2017,11,,-,11,,33,,211,,301,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
NEVADA,2017,11,1,,3,,12,,52,,79,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
OREGON,2017,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
SOUTH DAKOTA,2017,11,1,,2,,9,,31,,32,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
TENNESSEE,2017,11,5,,18,,38,,263,,222,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
NEW HAMPSHIRE,2017,11,,-,2,,6,,33,,31,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
PUERTO RICO,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEW JERSEY,2017,11,,-,0,,8,,46,,2,,,-,0,,2,,3,,,-,"NEW JERSEY
(40.104655, -74.386686)",
C.N.M.I.,2017,11,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
UTAH,2017,11,2,,4,,9,,38,,78,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
IOWA,2017,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
ARKANSAS,2017,11,5,,4,,27,,77,,68,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MONTANA,2017,11,3,,1,,7,,17,,23,,,-,0,,1,,2,,1,,"MONTANA
(47.062617, -109.430168)",
DELAWARE,2017,11,,-,1,,6,,22,,20,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
RHODE ISLAND,2017,11,,-,1,,10,,9,,7,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
TEXAS,2017,11,37,,28,,150,,355,,477,,,-,0,,2,,4,,,-,"TEXAS
(31.827233, -99.423022)",
MASSACHUSETTS,2017,11,12,,11,,27,,194,,142,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
COLORADO,2017,11,,-,9,,19,,111,,144,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
VERMONT,2017,11,,-,1,,5,,7,,29,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
NORTH CAROLINA,2017,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
GEORGIA,2017,11,,-,16,,38,,163,,305,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
FLORIDA,2017,11,9,,10,,59,,174,,202,,,-,0,,1,,1,,,-,"FLORIDA
(28.915325, -81.922409)",
CONNECTICUT,2017,11,,-,4,,13,,52,,63,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
DIST. OF COL.,2017,11,,-,1,,4,,2,,14,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
VIRGINIA,2017,11,1,,0,,2,,3,,6,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
MINNESOTA,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MISSOURI,2017,11,7,,5,,23,,173,,47,,1,,0,,3,,11,,,-,"MISSOURI
(38.636168, -92.566292)",
CALIFORNIA,2017,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
OKLAHOMA,2017,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
NORTH DAKOTA,2017,11,,-,1,,5,,18,,15,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
KANSAS,2017,11,,-,4,,14,,66,,62,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
NEBRASKA,2017,11,7,,3,,9,,60,,58,,,-,0,,1,,1,,1,,"NEBRASKA
(41.640503, -99.367122)",
MAINE,2017,11,1,,2,,9,,33,,33,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NEW MEXICO,2017,11,1,,5,,14,,90,,99,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
WASHINGTON,2017,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
ALABAMA,2017,11,1,,7,,25,,97,,102,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
UNITED STATES,2017,12,217,,308,,621,,4949,,5290,,7,,0,,8,,44,,12,,,
NEW ENGLAND,2017,12,5,,22,,50,,353,,336,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,12,40,,50,,95,,742,,727,,1,,0,,6,,15,,6,,,
NEW YORK CITY,2017,12,14,,13,,29,,213,,195,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2017,12,39,,50,,103,,762,,942,,2,,0,,1,,4,,3,,,
W.N. CENTRAL,2017,12,13,,17,,45,,382,,234,,,-,0,,3,,13,,1,,,
S. ATLANTIC,2017,12,37,,54,,120,,915,,939,,3,,0,,1,,5,,1,,,
E.S. CENTRAL,2017,12,21,,35,,69,,558,,534,,1,,0,,1,,1,,,-,,
W.S. CENTRAL,2017,12,36,,37,,188,,573,,711,,,-,0,,2,,4,,,-,,
MOUNTAIN,2017,12,26,,35,,74,,615,,810,,,-,0,,1,,2,,1,,,
PACIFIC,2017,12,,-,4,,10,,49,,57,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
TENNESSEE,2017,12,13,,17,,38,,282,,251,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
MISSOURI,2017,12,8,,5,,23,,186,,52,,,-,0,,3,,12,,,-,"MISSOURI
(38.636168, -92.566292)",
NORTH CAROLINA,2017,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
LOUISIANA,2017,12,1,,5,,15,,91,,129,,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
VERMONT,2017,12,1,,1,,5,,10,,31,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
VIRGIN ISL.,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
FLORIDA,2017,12,15,,10,,59,,189,,216,,2,,0,,1,,3,,,-,"FLORIDA
(28.915325, -81.922409)",
NEW YORK,2017,12,20,,17,,55,,233,,237,,,-,0,,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
ARKANSAS,2017,12,8,,4,,27,,86,,73,,,-,0,,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
OHIO,2017,12,28,,17,,53,,337,,348,,2,,0,,0,,2,,,-,"OHIO
(40.056807, -82.405897)",
HAWAII,2017,12,,-,1,,7,,28,,29,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
VIRGINIA,2017,12,,-,0,,2,,5,,7,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
WISCONSIN,2017,12,9,,6,,22,,144,,129,,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
IOWA,2017,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
MICHIGAN,2017,12,1,,13,,28,,161,,264,,,-,0,,1,,2,,3,,"MICHIGAN
(44.66399, -84.711206)",
COLORADO,2017,12,14,,9,,19,,144,,157,,,-,0,,0,,,-,,-,"COLORADO
(38.841772, -106.132562)",
MINNESOTA,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
C.N.M.I.,2017,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
DELAWARE,2017,12,1,,1,,6,,26,,22,,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW MEXICO,2017,12,2,,5,,14,,95,,110,,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
OKLAHOMA,2017,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
PENNSYLVANIA,2017,12,4,,16,,39,,243,,293,,1,,0,,4,,12,,6,,"PENNSYLVANIA
(40.789676, -77.858055)",
TEXAS,2017,12,27,,27,,151,,396,,509,,,-,0,,2,,4,,,-,"TEXAS
(31.827233, -99.423022)",
WEST VIRGINIA,2017,12,,-,4,,14,,65,,90,,,-,0,,1,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
ARIZONA,2017,12,9,,11,,27,,234,,328,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
IDAHO,2017,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
NEBRASKA,2017,12,2,,3,,9,,62,,64,,,-,0,,1,,1,,1,,"NEBRASKA
(41.640503, -99.367122)",
ILLINOIS,2017,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
MARYLAND,2017,12,7,,8,,20,,143,,135,,1,,0,,1,,2,,,-,"MARYLAND
(39.290443, -76.612333)",
MASSACHUSETTS,2017,12,,-,11,,27,,194,,159,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
WASHINGTON,2017,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
INDIANA,2017,12,1,,9,,32,,120,,201,,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
DIST. OF COL.,2017,12,,-,1,,4,,2,,18,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
RHODE ISLAND,2017,12,2,,1,,10,,16,,7,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
UTAH,2017,12,1,,4,,9,,42,,87,,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
CALIFORNIA,2017,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
NEW JERSEY,2017,12,2,,0,,8,,53,,2,,,-,0,,2,,3,,,-,"NEW JERSEY
(40.104655, -74.386686)",
CONNECTICUT,2017,12,,-,4,,15,,64,,69,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
NEVADA,2017,12,,-,3,,15,,79,,88,,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
GUAM,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
OREGON,2017,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OREGON
(44.567912, -120.156945)",
KANSAS,2017,12,,-,4,,14,,77,,64,,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
PUERTO RICO,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
WYOMING,2017,12,,-,0,,3,,4,,13,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
SOUTH CAROLINA,2017,12,6,,11,,42,,262,,121,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
MISSISSIPPI,2017,12,,-,4,,11,,55,,96,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
GEORGIA,2017,12,8,,16,,38,,223,,330,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
NEW HAMPSHIRE,2017,12,,-,2,,6,,34,,35,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
SOUTH DAKOTA,2017,12,3,,2,,9,,37,,37,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
KENTUCKY,2017,12,6,,4,,17,,114,,79,,1,,0,,1,,1,,,-,"KENTUCKY
(37.64591, -84.774043)",
MAINE,2017,12,2,,2,,9,,35,,35,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
ALASKA,2017,12,,-,2,,8,,21,,28,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NORTH DAKOTA,2017,12,,-,1,,5,,20,,17,,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MONTANA,2017,12,,-,1,,7,,17,,27,,,-,0,,1,,2,,1,,"MONTANA
(47.062617, -109.430168)",
ALABAMA,2017,12,2,,6,,25,,107,,108,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
UNITED STATES,2017,13,242,,306,,645,,5373,,5816,,5,,0,,8,,49,,11,,,
NEW ENGLAND,2017,13,2,,21,,50,,362,,368,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2017,13,40,,50,,98,,788,,824,,2,,0,,6,,17,,6,,,
NEW YORK CITY,2017,13,18,,13,,29,,232,,218,,2,,0,,0,,2,,,-,,
E.N. CENTRAL,2017,13,41,,51,,103,,837,,1038,,,-,0,,2,,4,,2,,,
W.N. CENTRAL,2017,13,18,,17,,45,,411,,263,,3,,0,,3,,16,,1,,,
S. ATLANTIC,2017,13,39,,54,,120,,1000,,1023,,,-,0,,3,,5,,1,,,
E.S. CENTRAL,2017,13,28,,34,,69,,604,,587,,,-,0,,1,,1,,,-,,
W.S. CENTRAL,2017,13,43,,37,,191,,656,,772,,,-,0,,2,,4,,,-,,
MOUNTAIN,2017,13,27,,35,,68,,662,,874,,,-,0,,1,,2,,1,,,
PACIFIC,2017,13,4,,4,,10,,53,,67,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2017,13,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
PUERTO RICO,2017,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
RHODE ISLAND,2017,13,,-,1,,10,,16,,9,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
WASHINGTON,2017,13,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
VERMONT,2017,13,1,,1,,5,,11,,31,,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
PENNSYLVANIA,2017,13,,-,16,,39,,243,,330,,,-,0,,4,,12,,6,,"PENNSYLVANIA
(40.789676, -77.858055)",
OHIO,2017,13,31,,17,,53,,370,,378,,,-,0,,2,,2,,,-,"OHIO
(40.056807, -82.405897)",
NEW HAMPSHIRE,2017,13,,-,2,,6,,34,,38,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MICHIGAN,2017,13,2,,16,,28,,182,,289,,,-,0,,2,,2,,2,,"MICHIGAN
(44.66399, -84.711206)",
CALIFORNIA,2017,13,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"CALIFORNIA
(37.640735, -121.002435)",
MONTANA,2017,13,2,,1,,7,,20,,29,,,-,0,,1,,2,,1,,"MONTANA
(47.062617, -109.430168)",
ALASKA,2017,13,4,,2,,8,,25,,36,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NEW JERSEY,2017,13,2,,0,,8,,60,,3,,,-,0,,2,,3,,,-,"NEW JERSEY
(40.104655, -74.386686)",
TEXAS,2017,13,26,,27,,154,,457,,555,,,-,0,,2,,4,,,-,"TEXAS
(31.827233, -99.423022)",
NEBRASKA,2017,13,3,,3,,9,,65,,71,,1,,0,,1,,2,,1,,"NEBRASKA
(41.640503, -99.367122)",
TENNESSEE,2017,13,23,,16,,38,,306,,283,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
MASSACHUSETTS,2017,13,,-,11,,27,,194,,173,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
OKLAHOMA,2017,13,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
MAINE,2017,13,1,,2,,9,,36,,39,,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
