 Reporting Area,MMWR Year,MMWR Week,"Legionellosis, Current week","Legionellosis, Current week, flag","Legionellosis, Previous 52 weeks Med","Legionellosis, Previous 52 weeks Med, flag","Legionellosis, Previous 52 weeks Max","Legionellosis, Previous 52 weeks Max, flag","Legionellosis, Cum 2017","Legionellosis, Cum 2017, flag","Legionellosis, Cum 2016","Legionellosis, Cum 2016, flag","Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Med","Malaria, Previous 52 weeks Med, flag","Malaria, Previous 52 weeks Max","Malaria, Previous 52 weeks Max, flag","Malaria, Cum 2017","Malaria, Cum 2017, flag","Malaria, Cum 2016","Malaria, Cum 2016, flag",Location 1,Location 2
UTAH,2017,10,,-,0,,3,,2,,4,,,-,0,,3,,1,,1,,"UTAH
(39.359772, -111.584173)",
MICHIGAN,2017,10,,-,4,,26,,17,,24,,,-,0,,4,,6,,5,,"MICHIGAN
(44.66399, -84.711206)",
ARKANSAS,2017,10,1,,1,,6,,9,,2,,1,,0,,1,,1,,,-,"ARKANSAS
(34.748745, -92.275105)",
VIRGINIA,2017,10,,-,3,,9,,11,,13,,,-,1,,4,,12,,8,,"VIRGINIA
(37.542699, -78.45822)",
DIST. OF COL.,2017,10,,-,0,,0,,,-,,-,,-,0,,3,,2,,3,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
OREGON,2017,10,,-,1,,3,,3,,4,,,-,0,,3,,3,,3,,"OREGON
(44.567912, -120.156945)",
PUERTO RICO,2017,10,,-,0,,1,,,-,2,,,-,0,,1,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
C.N.M.I.,2017,10,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NORTH CAROLINA,2017,10,,-,4,,11,,10,,25,,,-,0,,4,,1,,8,,"NORTH CAROLINA
(35.47995, -79.180571)",
MASSACHUSETTS,2017,10,,-,2,,11,,10,,10,,,-,1,,6,,9,,11,,"MASSACHUSETTS
(42.268546, -72.085064)",
TEXAS,2017,10,1,,4,,18,,25,,15,,,-,2,,19,,9,,14,,"TEXAS
(31.827233, -99.423022)",
MONTANA,2017,10,,-,0,,1,,4,,1,,,-,0,,1,,1,,,-,"MONTANA
(47.062617, -109.430168)",
MAINE,2017,10,,-,0,,2,,,-,5,,,-,0,,1,,,-,3,,"MAINE
(45.252223, -68.986647)",
WEST VIRGINIA,2017,10,,-,0,,3,,,-,2,,,-,0,,0,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW MEXICO,2017,10,,-,0,,3,,1,,2,,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
IDAHO,2017,10,1,,0,,1,,1,,5,,,-,0,,1,,2,,,-,"IDAHO
(43.680635, -114.364237)",
FLORIDA,2017,10,5,,6,,13,,64,,46,,1,,1,,4,,8,,7,,"FLORIDA
(28.915325, -81.922409)",
MARYLAND,2017,10,,-,3,,7,,18,,20,,2,,4,,12,,43,,20,,"MARYLAND
(39.290443, -76.612333)",
MINNESOTA,2017,10,,-,1,,12,,,-,4,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NORTH DAKOTA,2017,10,,-,0,,2,,1,,,-,,-,0,,1,,1,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
OHIO,2017,10,5,,8,,32,,59,,54,,1,,1,,13,,7,,6,,"OHIO
(40.056807, -82.405897)",
WYOMING,2017,10,,-,0,,1,,1,,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
TENNESSEE,2017,10,,-,2,,7,,15,,15,,,-,0,,2,,2,,4,,"TENNESSEE
(35.681402, -85.774444)",
UNITED STATES,2017,11,20,,120,,226,,657,,720,,5,,37,,88,,226,,235,,,
NEW ENGLAND,2017,11,1,,4,,21,,28,,23,,,-,3,,7,,12,,22,,,
MID. ATLANTIC,2017,11,4,,28,,71,,176,,174,,1,,10,,26,,68,,51,,,
NEW YORK CITY,2017,11,2,,4,,31,,46,,55,,1,,4,,17,,29,,21,,,
E.N. CENTRAL,2017,11,,-,21,,69,,108,,142,,,-,3,,25,,20,,22,,,
W.N. CENTRAL,2017,11,1,,5,,26,,26,,28,,,-,1,,5,,6,,7,,,
MAINE,2017,11,,-,0,,2,,,-,5,,,-,0,,1,,,-,3,,"MAINE
(45.252223, -68.986647)",
NEW HAMPSHIRE,2017,11,,-,0,,3,,3,,1,,,-,0,,2,,,-,3,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ILLINOIS,2017,11,,-,6,,17,,16,,33,,,-,1,,5,,6,,8,,"ILLINOIS
(40.477092, -88.993221)",
KANSAS,2017,11,,-,0,,4,,2,,3,,,-,0,,2,,1,,,-,"KANSAS
(38.345528, -98.201847)",
OHIO,2017,11,,-,8,,32,,62,,59,,,-,1,,13,,7,,6,,"OHIO
(40.056807, -82.405897)",
S. ATLANTIC,2017,11,5,,20,,36,,137,,149,,2,,9,,25,,81,,69,,,
E.S. CENTRAL,2017,11,1,,5,,13,,45,,36,,,-,1,,3,,5,,9,,,
W.S. CENTRAL,2017,11,7,,6,,27,,50,,24,,1,,3,,20,,13,,23,,,
MOUNTAIN,2017,11,,-,4,,14,,43,,38,,,-,2,,5,,10,,9,,,
ALABAMA,2017,11,,-,1,,4,,9,,8,,,-,0,,1,,,-,2,,"ALABAMA
(32.839182, -86.631125)",
WYOMING,2017,11,,-,0,,1,,1,,,-,,-,0,,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
DELAWARE,2017,11,,-,0,,2,,2,,5,,,-,0,,3,,1,,5,,"DELAWARE
(39.008676, -75.574561)",
COLORADO,2017,11,,-,1,,4,,6,,8,,,-,0,,2,,1,,3,,"COLORADO
(38.841772, -106.132562)",
IDAHO,2017,11,,-,0,,1,,1,,5,,,-,0,,1,,2,,,-,"IDAHO
(43.680635, -114.364237)",
PACIFIC,2017,11,1,,11,,35,,44,,106,,1,,3,,9,,11,,23,,,
AMER. SAMOA,2017,11,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,
RHODE ISLAND,2017,11,,-,0,,7,,2,,,-,,-,0,,3,,1,,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MASSACHUSETTS,2017,11,1,,2,,11,,15,,13,,,-,1,,6,,10,,15,,"MASSACHUSETTS
(42.268546, -72.085064)",
NORTH CAROLINA,2017,11,,-,4,,11,,12,,28,,,-,1,,4,,4,,8,,"NORTH CAROLINA
(35.47995, -79.180571)",
NEBRASKA,2017,11,1,,0,,3,,5,,,-,,-,0,,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
VERMONT,2017,11,,-,0,,2,,,-,1,,,-,0,,2,,1,,,-,"VERMONT
(43.622479, -72.51927)",
OKLAHOMA,2017,11,,-,0,,20,,1,,1,,,-,0,,1,,,-,1,,"OKLAHOMA
(35.468494, -97.521264)",
INDIANA,2017,11,,-,2,,12,,13,,13,,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
MARYLAND,2017,11,,-,3,,7,,18,,22,,1,,3,,12,,44,,22,,"MARYLAND
(39.290443, -76.612333)",
C.N.M.I.,2017,11,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
IOWA,2017,11,,-,1,,2,,6,,3,,,-,0,,3,,2,,3,,"IOWA
(42.46942, -93.815856)",
KENTUCKY,2017,11,,-,2,,6,,18,,9,,,-,0,,2,,1,,1,,"KENTUCKY
(37.64591, -84.774043)",
TEXAS,2017,11,4,,4,,19,,32,,17,,1,,2,,20,,12,,19,,"TEXAS
(31.827233, -99.423022)",
MISSOURI,2017,11,,-,2,,13,,12,,17,,,-,0,,3,,2,,1,,"MISSOURI
(38.636168, -92.566292)",
UTAH,2017,11,,-,0,,3,,2,,4,,,-,0,,3,,1,,2,,"UTAH
(39.359772, -111.584173)",
ARKANSAS,2017,11,3,,1,,6,,13,,2,,,-,0,,1,,1,,,-,"ARKANSAS
(34.748745, -92.275105)",
VIRGIN ISL.,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
CALIFORNIA,2017,11,,-,9,,30,,34,,95,,,-,2,,7,,5,,15,,"CALIFORNIA
(37.640735, -121.002435)",
MISSISSIPPI,2017,11,,-,0,,3,,2,,3,,,-,0,,2,,2,,2,,"MISSISSIPPI
(32.738663, -89.537312)",
DIST. OF COL.,2017,11,,-,0,,0,,,-,,-,,-,0,,3,,2,,3,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MINNESOTA,2017,11,,-,1,,12,,,-,5,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NORTH DAKOTA,2017,11,,-,0,,2,,1,,,-,,-,0,,1,,1,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MONTANA,2017,11,,-,0,,1,,4,,1,,,-,0,,1,,1,,,-,"MONTANA
(47.062617, -109.430168)",
OREGON,2017,11,,-,1,,3,,3,,4,,,-,0,,3,,3,,3,,"OREGON
(44.567912, -120.156945)",
LOUISIANA,2017,11,,-,0,,2,,4,,4,,,-,0,,2,,,-,3,,"LOUISIANA
(31.2931, -92.463284)",
SOUTH DAKOTA,2017,11,,-,0,,1,,,-,,-,,-,0,,1,,,-,2,,"SOUTH DAKOTA
(44.35371, -100.373709)",
GUAM,2017,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEVADA,2017,11,,-,0,,4,,2,,3,,,-,0,,1,,,-,2,,"NEVADA
(39.491833, -117.070159)",
VIRGINIA,2017,11,,-,3,,9,,11,,13,,,-,1,,4,,13,,8,,"VIRGINIA
(37.542699, -78.45822)",
ALASKA,2017,11,,-,0,,1,,1,,,-,1,,0,,1,,1,,1,,"ALASKA
(64.836661, -147.738891)",
SOUTH CAROLINA,2017,11,,-,1,,4,,6,,4,,,-,0,,3,,1,,2,,"SOUTH CAROLINA
(34.009286, -81.037094)",
TENNESSEE,2017,11,1,,2,,7,,16,,16,,,-,0,,2,,2,,4,,"TENNESSEE
(35.681402, -85.774444)",
HAWAII,2017,11,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
PENNSYLVANIA,2017,11,2,,14,,37,,86,,50,,,-,2,,10,,21,,14,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW MEXICO,2017,11,,-,0,,3,,1,,2,,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
CONNECTICUT,2017,11,,-,1,,6,,8,,3,,,-,0,,1,,,-,1,,"CONNECTICUT
(41.544654, -72.651713)",
MICHIGAN,2017,11,,-,4,,26,,17,,27,,,-,0,,4,,6,,5,,"MICHIGAN
(44.66399, -84.711206)",
NEW YORK,2017,11,,-,8,,26,,38,,47,,,-,1,,8,,8,,7,,"NEW YORK
(42.826892, -75.544286)",
ARIZONA,2017,11,,-,2,,6,,26,,15,,,-,1,,4,,5,,1,,"ARIZONA
(34.869712, -111.760902)",
WEST VIRGINIA,2017,11,,-,0,,3,,,-,3,,,-,0,,0,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW JERSEY,2017,11,,-,2,,7,,6,,22,,,-,1,,7,,10,,9,,"NEW JERSEY
(40.104655, -74.386686)",
WISCONSIN,2017,11,,-,0,,3,,,-,10,,,-,0,,3,,1,,3,,"WISCONSIN
(44.395526, -89.834513)",
WASHINGTON,2017,11,1,,1,,9,,5,,5,,,-,1,,4,,2,,4,,"WASHINGTON
(47.517368, -120.467672)",
PUERTO RICO,2017,11,,-,0,,1,,,-,2,,,-,0,,1,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
GEORGIA,2017,11,,-,2,,6,,19,,22,,,-,1,,5,,7,,12,,"GEORGIA
(32.836038, -83.631709)",
FLORIDA,2017,11,5,,6,,13,,69,,52,,1,,1,,4,,9,,8,,"FLORIDA
(28.915325, -81.922409)",
UNITED STATES,2017,12,12,,121,,224,,705,,805,,9,,37,,88,,251,,248,,,
NEW ENGLAND,2017,12,1,,4,,21,,29,,27,,,-,2,,7,,12,,22,,,
MID. ATLANTIC,2017,12,3,,28,,71,,187,,200,,2,,10,,26,,71,,56,,,
NEW YORK CITY,2017,12,2,,4,,31,,48,,58,,,-,4,,17,,29,,26,,,
E.N. CENTRAL,2017,12,1,,21,,69,,114,,151,,2,,3,,25,,24,,24,,,
W.N. CENTRAL,2017,12,1,,6,,26,,32,,32,,1,,1,,5,,10,,8,,,
S. ATLANTIC,2017,12,3,,20,,36,,143,,166,,2,,9,,25,,89,,72,,,
E.S. CENTRAL,2017,12,1,,5,,13,,48,,43,,,-,1,,3,,5,,9,,,
W.S. CENTRAL,2017,12,1,,7,,27,,52,,29,,1,,3,,20,,14,,22,,,
MOUNTAIN,2017,12,,-,4,,14,,45,,39,,,-,1,,5,,11,,10,,,
PACIFIC,2017,12,1,,11,,35,,55,,118,,1,,3,,9,,15,,25,,,
AMER. SAMOA,2017,12,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,
MARYLAND,2017,12,,-,3,,8,,19,,22,,2,,3,,13,,47,,25,,"MARYLAND
(39.290443, -76.612333)",
VIRGINIA,2017,12,1,,3,,9,,12,,13,,,-,1,,4,,13,,8,,"VIRGINIA
(37.542699, -78.45822)",
CONNECTICUT,2017,12,1,,1,,6,,9,,3,,,-,0,,1,,,-,1,,"CONNECTICUT
(41.544654, -72.651713)",
MONTANA,2017,12,,-,0,,1,,4,,1,,,-,0,,1,,1,,1,,"MONTANA
(47.062617, -109.430168)",
GEORGIA,2017,12,,-,2,,6,,20,,23,,,-,1,,5,,11,,12,,"GEORGIA
(32.836038, -83.631709)",
NEW JERSEY,2017,12,,-,2,,7,,6,,25,,,-,1,,7,,11,,9,,"NEW JERSEY
(40.104655, -74.386686)",
MISSOURI,2017,12,1,,2,,13,,16,,19,,1,,0,,3,,3,,1,,"MISSOURI
(38.636168, -92.566292)",
OKLAHOMA,2017,12,,-,0,,20,,1,,1,,,-,0,,1,,,-,1,,"OKLAHOMA
(35.468494, -97.521264)",
NEW HAMPSHIRE,2017,12,,-,0,,3,,3,,1,,,-,0,,2,,,-,3,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
IOWA,2017,12,,-,1,,2,,7,,4,,,-,0,,3,,2,,3,,"IOWA
(42.46942, -93.815856)",
ALABAMA,2017,12,,-,1,,4,,10,,10,,,-,0,,1,,,-,2,,"ALABAMA
(32.839182, -86.631125)",
NORTH DAKOTA,2017,12,,-,0,,2,,1,,1,,,-,0,,1,,1,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
TEXAS,2017,12,1,,4,,19,,34,,21,,1,,2,,20,,13,,18,,"TEXAS
(31.827233, -99.423022)",
RHODE ISLAND,2017,12,,-,0,,9,,2,,3,,,-,0,,3,,1,,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MINNESOTA,2017,12,,-,1,,12,,,-,5,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
WASHINGTON,2017,12,,-,1,,9,,5,,7,,1,,0,,4,,3,,5,,"WASHINGTON
(47.517368, -120.467672)",
FLORIDA,2017,12,2,,6,,13,,71,,61,,,-,1,,4,,9,,8,,"FLORIDA
(28.915325, -81.922409)",
DIST. OF COL.,2017,12,,-,0,,0,,,-,,-,,-,0,,3,,2,,3,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MISSISSIPPI,2017,12,,-,0,,3,,3,,3,,,-,0,,2,,2,,2,,"MISSISSIPPI
(32.738663, -89.537312)",
MASSACHUSETTS,2017,12,,-,2,,11,,15,,13,,,-,1,,6,,10,,15,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW YORK,2017,12,,-,7,,26,,45,,55,,2,,1,,8,,10,,7,,"NEW YORK
(42.826892, -75.544286)",
ILLINOIS,2017,12,,-,6,,17,,18,,36,,,-,1,,5,,6,,10,,"ILLINOIS
(40.477092, -88.993221)",
LOUISIANA,2017,12,,-,0,,2,,4,,4,,,-,0,,2,,,-,3,,"LOUISIANA
(31.2931, -92.463284)",
PENNSYLVANIA,2017,12,1,,14,,37,,88,,62,,,-,2,,10,,21,,14,,"PENNSYLVANIA
(40.789676, -77.858055)",
OREGON,2017,12,,-,1,,3,,4,,4,,,-,0,,3,,3,,3,,"OREGON
(44.567912, -120.156945)",
DELAWARE,2017,12,,-,0,,2,,2,,5,,,-,0,,3,,1,,5,,"DELAWARE
(39.008676, -75.574561)",
CALIFORNIA,2017,12,1,,10,,30,,43,,105,,,-,2,,7,,8,,16,,"CALIFORNIA
(37.640735, -121.002435)",
ARKANSAS,2017,12,,-,1,,6,,13,,3,,,-,0,,1,,1,,,-,"ARKANSAS
(34.748745, -92.275105)",
PUERTO RICO,2017,12,,-,0,,1,,,-,3,,,-,0,,1,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
COLORADO,2017,12,,-,1,,4,,6,,8,,,-,0,,2,,1,,3,,"COLORADO
(38.841772, -106.132562)",
WEST VIRGINIA,2017,12,,-,0,,3,,,-,3,,,-,0,,0,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
WISCONSIN,2017,12,,-,0,,3,,,-,11,,,-,0,,3,,1,,3,,"WISCONSIN
(44.395526, -89.834513)",
NEW MEXICO,2017,12,,-,0,,3,,1,,2,,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
VERMONT,2017,12,,-,0,,2,,,-,1,,,-,0,,2,,1,,,-,"VERMONT
(43.622479, -72.51927)",
ARIZONA,2017,12,,-,2,,6,,27,,16,,,-,1,,4,,6,,1,,"ARIZONA
(34.869712, -111.760902)",
NEVADA,2017,12,,-,0,,4,,3,,3,,,-,0,,1,,,-,2,,"NEVADA
(39.491833, -117.070159)",
SOUTH CAROLINA,2017,12,,-,1,,4,,6,,5,,,-,0,,3,,1,,2,,"SOUTH CAROLINA
(34.009286, -81.037094)",
IDAHO,2017,12,,-,0,,1,,1,,5,,,-,0,,1,,2,,,-,"IDAHO
(43.680635, -114.364237)",
VIRGIN ISL.,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MAINE,2017,12,,-,0,,2,,,-,6,,,-,0,,1,,,-,3,,"MAINE
(45.252223, -68.986647)",
NEBRASKA,2017,12,,-,0,,3,,6,,,-,,-,0,,1,,1,,1,,"NEBRASKA
(41.640503, -99.367122)",
ALASKA,2017,12,,-,0,,1,,1,,,-,,-,0,,1,,1,,1,,"ALASKA
(64.836661, -147.738891)",
UTAH,2017,12,,-,0,,3,,2,,4,,,-,0,,3,,1,,2,,"UTAH
(39.359772, -111.584173)",
C.N.M.I.,2017,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
KENTUCKY,2017,12,,-,2,,6,,18,,10,,,-,0,,2,,1,,1,,"KENTUCKY
(37.64591, -84.774043)",
TENNESSEE,2017,12,1,,2,,7,,17,,20,,,-,0,,2,,2,,4,,"TENNESSEE
(35.681402, -85.774444)",
NORTH CAROLINA,2017,12,,-,4,,11,,13,,34,,,-,1,,4,,5,,8,,"NORTH CAROLINA
(35.47995, -79.180571)",
HAWAII,2017,12,,-,0,,1,,2,,2,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
OHIO,2017,12,1,,8,,32,,63,,60,,2,,1,,13,,10,,6,,"OHIO
(40.056807, -82.405897)",
GUAM,2017,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
INDIANA,2017,12,,-,2,,12,,14,,16,,,-,0,,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
SOUTH DAKOTA,2017,12,,-,0,,1,,,-,,-,,-,0,,1,,1,,3,,"SOUTH DAKOTA
(44.35371, -100.373709)",
WYOMING,2017,12,,-,0,,1,,1,,,-,,-,0,,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
MICHIGAN,2017,12,,-,4,,26,,19,,28,,,-,0,,4,,7,,5,,"MICHIGAN
(44.66399, -84.711206)",
KANSAS,2017,12,,-,0,,4,,2,,3,,,-,0,,2,,2,,,-,"KANSAS
(38.345528, -98.201847)",
UNITED STATES,2017,13,24,,123,,224,,753,,882,,6,,38,,87,,269,,266,,,
NEW ENGLAND,2017,13,,-,4,,21,,35,,34,,2,,3,,7,,14,,25,,,
MID. ATLANTIC,2017,13,5,,28,,71,,186,,217,,1,,10,,26,,75,,59,,,
NEW YORK CITY,2017,13,1,,4,,31,,49,,59,,1,,4,,17,,30,,27,,,
E.N. CENTRAL,2017,13,9,,21,,69,,131,,167,,,-,3,,25,,26,,27,,,
W.N. CENTRAL,2017,13,1,,6,,26,,35,,36,,,-,1,,5,,11,,8,,,
S. ATLANTIC,2017,13,4,,20,,37,,147,,176,,2,,9,,24,,91,,76,,,
E.S. CENTRAL,2017,13,,-,5,,13,,51,,48,,,-,1,,3,,6,,9,,,
W.S. CENTRAL,2017,13,2,,7,,27,,59,,35,,,-,3,,22,,15,,24,,,
MOUNTAIN,2017,13,2,,4,,14,,47,,44,,,-,1,,5,,12,,12,,,
PACIFIC,2017,13,1,,11,,35,,63,,125,,1,,3,,9,,19,,26,,,
AMER. SAMOA,2017,13,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,
MINNESOTA,2017,13,,-,1,,12,,,-,7,,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
CONNECTICUT,2017,13,,-,1,,6,,12,,4,,1,,0,,2,,1,,1,,"CONNECTICUT
(41.544654, -72.651713)",
CALIFORNIA,2017,13,,-,10,,30,,51,,111,,,-,2,,7,,11,,16,,"CALIFORNIA
(37.640735, -121.002435)",
TEXAS,2017,13,1,,5,,19,,40,,27,,,-,2,,22,,14,,19,,"TEXAS
(31.827233, -99.423022)",
ILLINOIS,2017,13,,-,6,,17,,22,,39,,,-,1,,5,,6,,10,,"ILLINOIS
(40.477092, -88.993221)",
NORTH DAKOTA,2017,13,,-,0,,2,,1,,1,,,-,0,,1,,1,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEW YORK,2017,13,4,,7,,26,,42,,61,,,-,1,,8,,10,,7,,"NEW YORK
(42.826892, -75.544286)",
MASSACHUSETTS,2017,13,,-,2,,11,,15,,18,,,-,1,,6,,10,,18,,"MASSACHUSETTS
(42.268546, -72.085064)",
PUERTO RICO,2017,13,,-,0,,1,,,-,3,,,-,0,,1,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
KANSAS,2017,13,,-,0,,4,,3,,3,,,-,0,,2,,2,,,-,"KANSAS
(38.345528, -98.201847)",
UTAH,2017,13,,-,0,,3,,2,,5,,,-,0,,3,,2,,2,,"UTAH
(39.359772, -111.584173)",
WEST VIRGINIA,2017,13,,-,0,,3,,,-,3,,,-,0,,0,,,-,1,,"WEST VIRGINIA
(38.668501, -80.709421)",
FLORIDA,2017,13,4,,5,,13,,74,,64,,1,,1,,4,,9,,8,,"FLORIDA
(28.915325, -81.922409)",
DIST. OF COL.,2017,13,,-,0,,0,,,-,,-,,-,0,,3,,2,,4,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MISSISSIPPI,2017,13,,-,0,,3,,3,,4,,,-,0,,2,,3,,2,,"MISSISSIPPI
(32.738663, -89.537312)",
ARKANSAS,2017,13,,-,1,,6,,13,,3,,,-,0,,1,,1,,,-,"ARKANSAS
(34.748745, -92.275105)",
PENNSYLVANIA,2017,13,,-,14,,37,,88,,70,,,-,2,,10,,21,,16,,"PENNSYLVANIA
(40.789676, -77.858055)",
MONTANA,2017,13,,-,0,,1,,4,,1,,,-,0,,1,,1,,2,,"MONTANA
(47.062617, -109.430168)",
INDIANA,2017,13,,-,2,,12,,18,,18,,,-,0,,2,,,-,1,,"INDIANA
(39.76845, -86.156212)",
OKLAHOMA,2017,13,1,,0,,20,,2,,1,,,-,0,,1,,,-,1,,"OKLAHOMA
(35.468494, -97.521264)",
NEW MEXICO,2017,13,,-,0,,3,,1,,3,,,-,0,,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
NEVADA,2017,13,,-,0,,4,,3,,3,,,-,0,,1,,,-,2,,"NEVADA
(39.491833, -117.070159)",
WISCONSIN,2017,13,,-,0,,4,,,-,12,,,-,0,,3,,1,,3,,"WISCONSIN
(44.395526, -89.834513)",
HAWAII,2017,13,,-,0,,1,,2,,2,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
NEBRASKA,2017,13,,-,0,,3,,6,,,-,,-,0,,1,,1,,1,,"NEBRASKA
(41.640503, -99.367122)",
KENTUCKY,2017,13,,-,2,,6,,19,,11,,,-,0,,2,,1,,1,,"KENTUCKY
(37.64591, -84.774043)",
OHIO,2017,13,9,,8,,32,,72,,68,,,-,1,,13,,12,,7,,"OHIO
(40.056807, -82.405897)",
C.N.M.I.,2017,13,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW HAMPSHIRE,2017,13,,-,0,,3,,6,,2,,,-,0,,2,,,-,3,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
SOUTH CAROLINA,2017,13,,-,1,,4,,6,,6,,,-,0,,3,,1,,2,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MARYLAND,2017,13,,-,3,,8,,19,,22,,1,,3,,13,,48,,25,,"MARYLAND
(39.290443, -76.612333)",
VIRGINIA,2017,13,,-,3,,9,,12,,14,,,-,1,,4,,13,,10,,"VIRGINIA
(37.542699, -78.45822)",
MAINE,2017,13,,-,0,,2,,,-,6,,1,,0,,1,,1,,3,,"MAINE
(45.252223, -68.986647)",
SOUTH DAKOTA,2017,13,,-,0,,1,,,-,,-,,-,0,,1,,1,,3,,"SOUTH DAKOTA
(44.35371, -100.373709)",
DELAWARE,2017,13,,-,0,,2,,2,,5,,,-,0,,3,,2,,5,,"DELAWARE
(39.008676, -75.574561)",
NEW JERSEY,2017,13,,-,2,,7,,6,,27,,,-,1,,7,,14,,9,,"NEW JERSEY
(40.104655, -74.386686)",
IDAHO,2017,13,,-,0,,1,,1,,5,,,-,0,,1,,2,,,-,"IDAHO
(43.680635, -114.364237)",
MICHIGAN,2017,13,,-,4,,26,,19,,30,,,-,0,,4,,7,,6,,"MICHIGAN
(44.66399, -84.711206)",
VERMONT,2017,13,,-,0,,2,,,-,1,,,-,0,,2,,1,,,-,"VERMONT
(43.622479, -72.51927)",
ARIZONA,2017,13,2,,2,,6,,29,,18,,,-,1,,4,,6,,1,,"ARIZONA
(34.869712, -111.760902)",
COLORADO,2017,13,,-,1,,4,,6,,9,,,-,0,,2,,1,,4,,"COLORADO
(38.841772, -106.132562)",
IOWA,2017,13,,-,1,,2,,7,,4,,,-,0,,3,,3,,3,,"IOWA
(42.46942, -93.815856)",
MISSOURI,2017,13,1,,2,,13,,18,,21,,,-,0,,3,,3,,1,,"MISSOURI
(38.636168, -92.566292)",
WASHINGTON,2017,13,,-,0,,9,,5,,8,,1,,0,,4,,4,,6,,"WASHINGTON
(47.517368, -120.467672)",
WYOMING,2017,13,,-,0,,1,,1,,,-,,-,0,,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
NORTH CAROLINA,2017,13,,-,4,,11,,14,,36,,,-,1,,4,,5,,8,,"NORTH CAROLINA
(35.47995, -79.180571)",
OREGON,2017,13,1,,1,,3,,4,,4,,,-,0,,3,,3,,3,,"OREGON
(44.567912, -120.156945)",
